Date,SKU,Demand
2020-09-01,Dermaglow,1556.0
2020-09-01,Diabecheck,1409.0
2020-09-01,Fungistop,1646.0
2020-09-01,Immunoboost,1509.0
2020-09-02,Dermaglow,1615.0
2020-09-02,Diabecheck,1476.0
2020-09-02,Fungistop,1629.0
2020-09-02,Immunoboost,1520.0
2020-09-03,Immunoboost,1332.0
2020-09-03,Fungistop,1352.0
2020-09-03,Dermaglow,1661.0
2020-09-03,Diabecheck,1300.0
2020-09-04,Dermaglow,1640.0
2020-09-04,Diabecheck,1599.0
2020-09-04,Fungistop,1585.0
2020-09-04,Immunoboost,1256.0
2020-09-05,Immunoboost,1306.0
2020-09-05,Fungistop,1319.0
2020-09-05,Dermaglow,1714.0
2020-09-05,Diabecheck,1472.0
2020-09-06,Dermaglow,1640.0
2020-09-06,Diabecheck,1386.0
2020-09-06,Fungistop,1534.0
2020-09-06,Immunoboost,1541.0
2020-09-07,Dermaglow,1667.0
2020-09-07,Diabecheck,1146.0
2020-09-07,Fungistop,1442.0
2020-09-07,Immunoboost,1321.0
2020-09-08,Immunoboost,1619.0
2020-09-08,Dermaglow,1681.0
2020-09-08,Diabecheck,1539.0
2020-09-08,Fungistop,1521.0
2020-09-09,Immunoboost,1542.0
2020-09-09,Fungistop,1703.0
2020-09-09,Dermaglow,1777.0
2020-09-09,Diabecheck,1543.0
2020-09-10,Dermaglow,1960.0
2020-09-10,Diabecheck,1402.0
2020-09-10,Fungistop,1561.0
2020-09-10,Immunoboost,1649.0
2020-09-11,Dermaglow,1753.0
2020-09-11,Diabecheck,1424.0
2020-09-11,Fungistop,1596.0
2020-09-11,Immunoboost,1456.0
2020-09-12,Dermaglow,1582.0
2020-09-12,Diabecheck,1385.0
2020-09-12,Fungistop,1398.0
2020-09-12,Immunoboost,1106.0
2020-09-13,Immunoboost,1419.0
2020-09-13,Fungistop,1437.0
2020-09-13,Dermaglow,1392.0
2020-09-13,Diabecheck,1510.0
2020-09-14,Dermaglow,1806.0
2020-09-14,Diabecheck,1534.0
2020-09-14,Fungistop,1530.0
2020-09-14,Immunoboost,1561.0
2020-09-15,Fungistop,1376.0
2020-09-15,Dermaglow,2022.0
2020-09-15,Diabecheck,1212.0
2020-09-15,Immunoboost,1631.0
2020-09-16,Dermaglow,1597.0
2020-09-16,Diabecheck,1431.0
2020-09-16,Fungistop,1507.0
2020-09-16,Immunoboost,1513.0
2020-09-17,Diabecheck,1545.0
2020-09-17,Fungistop,1493.0
2020-09-17,Dermaglow,1806.0
2020-09-17,Immunoboost,1525.0
2020-09-18,Immunoboost,1517.0
2020-09-18,Fungistop,1424.0
2020-09-18,Dermaglow,1519.0
2020-09-18,Diabecheck,1522.0
2020-09-19,Dermaglow,1636.0
2020-09-19,Diabecheck,1393.0
2020-09-19,Fungistop,1429.0
2020-09-19,Immunoboost,1089.0
2020-09-20,Dermaglow,1466.0
2020-09-20,Diabecheck,1285.0
2020-09-20,Fungistop,1403.0
2020-09-20,Immunoboost,1073.0
2020-09-21,Dermaglow,1674.0
2020-09-21,Diabecheck,1497.0
2020-09-21,Fungistop,1391.0
2020-09-21,Immunoboost,1572.0
2020-09-22,Immunoboost,1571.0
2020-09-22,Fungistop,1650.0
2020-09-22,Diabecheck,1259.0
2020-09-22,Dermaglow,1497.0
2020-09-23,Immunoboost,1604.0
2020-09-23,Fungistop,1571.0
2020-09-23,Dermaglow,1838.0
2020-09-23,Diabecheck,1465.0
2020-09-24,Dermaglow,1774.0
2020-09-24,Diabecheck,1288.0
2020-09-24,Fungistop,1704.0
2020-09-24,Immunoboost,1351.0
2020-09-25,Immunoboost,1190.0
2020-09-25,Dermaglow,1495.0
2020-09-25,Diabecheck,1582.0
2020-09-25,Fungistop,1599.0
2020-09-26,Fungistop,1326.0
2020-09-26,Immunoboost,1228.0
2020-09-26,Dermaglow,1629.0
2020-09-26,Diabecheck,1295.0
2020-09-27,Immunoboost,1118.0
2020-09-27,Fungistop,1423.0
2020-09-27,Dermaglow,1280.0
2020-09-27,Diabecheck,1268.0
2020-09-28,Dermaglow,1835.0
2020-09-28,Diabecheck,1574.0
2020-09-28,Fungistop,1396.0
2020-09-28,Immunoboost,1436.0
2020-09-29,Dermaglow,1449.0
2020-09-29,Diabecheck,1672.0
2020-09-29,Fungistop,1646.0
2020-09-29,Immunoboost,1672.0
2020-09-30,Immunoboost,1549.0
2020-09-30,Dermaglow,1702.0
2020-09-30,Diabecheck,1648.0
2020-09-30,Fungistop,1521.0
2020-10-01,Immunoboost,1583.0
2020-10-01,Fungistop,1405.0
2020-10-01,Diabecheck,1505.0
2020-10-01,Dermaglow,1945.0
2020-10-02,Dermaglow,1576.0
2020-10-02,Diabecheck,1387.0
2020-10-02,Fungistop,1422.0
2020-10-02,Immunoboost,1178.0
2020-10-03,Immunoboost,1142.0
2020-10-03,Dermaglow,1740.0
2020-10-03,Diabecheck,1255.0
2020-10-03,Fungistop,1361.0
2020-10-04,Diabecheck,1427.0
2020-10-04,Fungistop,1382.0
2020-10-04,Dermaglow,1618.0
2020-10-04,Immunoboost,1419.0
2020-10-05,Immunoboost,1525.0
2020-10-05,Fungistop,1276.0
2020-10-05,Dermaglow,1678.0
2020-10-05,Diabecheck,1493.0
2020-10-06,Dermaglow,1467.0
2020-10-06,Diabecheck,1621.0
2020-10-06,Fungistop,1563.0
2020-10-06,Immunoboost,1745.0
2020-10-07,Dermaglow,1830.0
2020-10-07,Diabecheck,1532.0
2020-10-07,Fungistop,1577.0
2020-10-07,Immunoboost,1451.0
2020-10-08,Immunoboost,1070.0
2020-10-08,Fungistop,1473.0
2020-10-08,Dermaglow,1519.0
2020-10-08,Diabecheck,1361.0
2020-10-09,Dermaglow,1803.0
2020-10-09,Diabecheck,1342.0
2020-10-09,Fungistop,1526.0
2020-10-09,Immunoboost,1473.0
2020-10-10,Immunoboost,1212.0
2020-10-10,Fungistop,1404.0
2020-10-10,Dermaglow,1457.0
2020-10-10,Diabecheck,1204.0
2020-10-11,Dermaglow,1480.0
2020-10-11,Diabecheck,1365.0
2020-10-11,Fungistop,1180.0
2020-10-11,Immunoboost,1214.0
2020-10-12,Dermaglow,1777.0
2020-10-12,Diabecheck,1443.0
2020-10-12,Fungistop,1586.0
2020-10-12,Immunoboost,1429.0
2020-10-13,Dermaglow,1781.0
2020-10-13,Diabecheck,1372.0
2020-10-13,Fungistop,1343.0
2020-10-13,Immunoboost,1516.0
2020-10-14,Immunoboost,1595.0
2020-10-14,Fungistop,1335.0
2020-10-14,Dermaglow,1932.0
2020-10-14,Diabecheck,1582.0
2020-10-15,Dermaglow,1601.0
2020-10-15,Diabecheck,1425.0
2020-10-15,Fungistop,1589.0
2020-10-15,Immunoboost,1377.0
2020-10-16,Dermaglow,1689.0
2020-10-16,Diabecheck,1523.0
2020-10-16,Fungistop,1426.0
2020-10-16,Immunoboost,1294.0
2020-10-17,Immunoboost,1293.0
2020-10-17,Dermaglow,1389.0
2020-10-17,Diabecheck,1220.0
2020-10-17,Fungistop,1140.0
2020-10-18,Immunoboost,1216.0
2020-10-18,Fungistop,1397.0
2020-10-18,Dermaglow,1641.0
2020-10-18,Diabecheck,1480.0
2020-10-19,Dermaglow,1665.0
2020-10-19,Diabecheck,1546.0
2020-10-19,Fungistop,1509.0
2020-10-19,Immunoboost,1411.0
2020-10-20,Immunoboost,1411.0
2020-10-20,Dermaglow,1404.0
2020-10-20,Diabecheck,1184.0
2020-10-20,Fungistop,1537.0
2020-10-21,Fungistop,1523.0
2020-10-21,Immunoboost,1374.0
2020-10-21,Dermaglow,1733.0
2020-10-21,Diabecheck,1361.0
2020-10-22,Immunoboost,1382.0
2020-10-22,Fungistop,1526.0
2020-10-22,Diabecheck,1401.0
2020-10-22,Dermaglow,1760.0
2020-10-23,Dermaglow,1758.0
2020-10-23,Diabecheck,1259.0
2020-10-23,Fungistop,1403.0
2020-10-23,Immunoboost,1372.0
2020-10-24,Dermaglow,1670.0
2020-10-24,Diabecheck,1448.0
2020-10-24,Fungistop,1457.0
2020-10-24,Immunoboost,1241.0
2020-10-25,Dermaglow,1484.0
2020-10-25,Diabecheck,1207.0
2020-10-25,Fungistop,1452.0
2020-10-25,Immunoboost,1351.0
2020-10-26,Immunoboost,1284.0
2020-10-26,Fungistop,1607.0
2020-10-26,Dermaglow,1713.0
2020-10-26,Diabecheck,1578.0
2020-10-27,Dermaglow,1737.0
2020-10-27,Diabecheck,1041.0
2020-10-27,Fungistop,1336.0
2020-10-27,Immunoboost,1435.0
2020-10-28,Dermaglow,1584.0
2020-10-28,Diabecheck,1686.0
2020-10-28,Fungistop,1433.0
2020-10-28,Immunoboost,1528.0
2020-10-29,Dermaglow,1728.0
2020-10-29,Diabecheck,1344.0
2020-10-29,Fungistop,1731.0
2020-10-29,Immunoboost,1382.0
2020-10-30,Fungistop,1461.0
2020-10-30,Immunoboost,1452.0
2020-10-30,Diabecheck,1378.0
2020-10-30,Dermaglow,1563.0
2020-10-31,Dermaglow,1616.0
2020-10-31,Diabecheck,1421.0
2020-10-31,Fungistop,1237.0
2020-10-31,Immunoboost,1243.0
2020-11-01,Dermaglow,1523.0
2020-11-01,Diabecheck,1025.0
2020-11-01,Fungistop,1402.0
2020-11-01,Immunoboost,1340.0
2020-11-02,Immunoboost,1530.0
2020-11-02,Fungistop,1405.0
2020-11-02,Diabecheck,1200.0
2020-11-02,Dermaglow,1691.0
2020-11-03,Dermaglow,1766.0
2020-11-03,Diabecheck,1638.0
2020-11-03,Fungistop,1436.0
2020-11-03,Immunoboost,1533.0
2020-11-04,Dermaglow,1545.0
2020-11-04,Diabecheck,1595.0
2020-11-04,Fungistop,1675.0
2020-11-04,Immunoboost,1551.0
2020-11-05,Fungistop,1558.0
2020-11-05,Immunoboost,1357.0
2020-11-05,Dermaglow,1690.0
2020-11-05,Diabecheck,1524.0
2020-11-06,Fungistop,1258.0
2020-11-06,Immunoboost,1496.0
2020-11-06,Dermaglow,1521.0
2020-11-06,Diabecheck,1450.0
2020-11-07,Fungistop,1345.0
2020-11-07,Immunoboost,1346.0
2020-11-07,Dermaglow,1565.0
2020-11-07,Diabecheck,1178.0
2020-11-08,Immunoboost,1171.0
2020-11-08,Fungistop,1374.0
2020-11-08,Diabecheck,896.0
2020-11-08,Dermaglow,1702.0
2020-11-09,Dermaglow,1570.0
2020-11-09,Diabecheck,1319.0
2020-11-09,Fungistop,1532.0
2020-11-09,Immunoboost,1480.0
2020-11-10,Dermaglow,1687.0
2020-11-10,Diabecheck,1318.0
2020-11-10,Fungistop,1656.0
2020-11-10,Immunoboost,1534.0
2020-11-11,Dermaglow,1892.0
2020-11-11,Diabecheck,1660.0
2020-11-11,Fungistop,1400.0
2020-11-11,Immunoboost,1708.0
2020-11-12,Immunoboost,1635.0
2020-11-12,Fungistop,1600.0
2020-11-12,Diabecheck,1531.0
2020-11-12,Dermaglow,1819.0
2020-11-13,Dermaglow,1365.0
2020-11-13,Diabecheck,1373.0
2020-11-13,Fungistop,1367.0
2020-11-13,Immunoboost,1466.0
2020-11-14,Dermaglow,1293.0
2020-11-14,Diabecheck,1344.0
2020-11-14,Fungistop,1393.0
2020-11-14,Immunoboost,1317.0
2020-11-15,Dermaglow,1269.0
2020-11-15,Diabecheck,1300.0
2020-11-15,Fungistop,1318.0
2020-11-15,Immunoboost,1321.0
2020-11-16,Fungistop,1328.0
2020-11-16,Immunoboost,1399.0
2020-11-16,Dermaglow,1642.0
2020-11-16,Diabecheck,1294.0
2020-11-17,Dermaglow,1605.0
2020-11-17,Diabecheck,1503.0
2020-11-17,Fungistop,1631.0
2020-11-17,Immunoboost,1481.0
2020-11-18,Dermaglow,1704.0
2020-11-18,Diabecheck,1263.0
2020-11-18,Fungistop,1538.0
2020-11-18,Immunoboost,1327.0
2020-11-19,Dermaglow,1656.0
2020-11-19,Diabecheck,1122.0
2020-11-19,Fungistop,1590.0
2020-11-19,Immunoboost,1392.0
2020-11-20,Fungistop,1479.0
2020-11-20,Immunoboost,1183.0
2020-11-20,Dermaglow,1648.0
2020-11-20,Diabecheck,1350.0
2020-11-21,Dermaglow,1596.0
2020-11-21,Diabecheck,1057.0
2020-11-21,Fungistop,1099.0
2020-11-21,Immunoboost,1243.0
2020-11-22,Fungistop,1135.0
2020-11-22,Immunoboost,1352.0
2020-11-22,Dermaglow,1535.0
2020-11-22,Diabecheck,1149.0
2020-11-23,Dermaglow,1434.0
2020-11-23,Diabecheck,1447.0
2020-11-23,Fungistop,1505.0
2020-11-23,Immunoboost,1313.0
2020-11-24,Dermaglow,1768.0
2020-11-24,Diabecheck,1399.0
2020-11-24,Fungistop,1366.0
2020-11-24,Immunoboost,1460.0
2020-11-25,Immunoboost,1554.0
2020-11-25,Fungistop,1543.0
2020-11-25,Diabecheck,1499.0
2020-11-25,Dermaglow,1639.0
2020-11-26,Dermaglow,1824.0
2020-11-26,Diabecheck,1373.0
2020-11-26,Fungistop,1501.0
2020-11-26,Immunoboost,1535.0
2020-11-27,Dermaglow,1619.0
2020-11-27,Diabecheck,1395.0
2020-11-27,Fungistop,1496.0
2020-11-27,Immunoboost,1243.0
2020-11-28,Dermaglow,1293.0
2020-11-28,Diabecheck,1332.0
2020-11-28,Fungistop,1354.0
2020-11-28,Immunoboost,1090.0
2020-11-29,Immunoboost,1174.0
2020-11-29,Fungistop,1417.0
2020-11-29,Diabecheck,1136.0
2020-11-29,Dermaglow,1535.0
2020-11-30,Dermaglow,1524.0
2020-11-30,Diabecheck,1237.0
2020-11-30,Fungistop,1290.0
2020-11-30,Immunoboost,1526.0
2020-12-01,Dermaglow,1757.0
2020-12-01,Diabecheck,1479.0
2020-12-01,Fungistop,1607.0
2020-12-01,Immunoboost,1746.0
2020-12-02,Dermaglow,1713.0
2020-12-02,Diabecheck,1846.0
2020-12-02,Fungistop,1478.0
2020-12-02,Immunoboost,1642.0
2020-12-03,Fungistop,1587.0
2020-12-03,Immunoboost,1534.0
2020-12-03,Dermaglow,2001.0
2020-12-03,Diabecheck,1862.0
2020-12-04,Dermaglow,1884.0
2020-12-04,Diabecheck,1574.0
2020-12-04,Fungistop,1609.0
2020-12-04,Immunoboost,1698.0
2020-12-05,Dermaglow,1518.0
2020-12-05,Diabecheck,1261.0
2020-12-05,Fungistop,1422.0
2020-12-05,Immunoboost,1606.0
2020-12-06,Dermaglow,1511.0
2020-12-06,Diabecheck,1248.0
2020-12-06,Fungistop,1424.0
2020-12-06,Immunoboost,1486.0
2020-12-07,Fungistop,1520.0
2020-12-07,Immunoboost,1581.0
2020-12-07,Dermaglow,1582.0
2020-12-07,Diabecheck,1610.0
2020-12-08,Dermaglow,1880.0
2020-12-08,Diabecheck,1336.0
2020-12-08,Fungistop,1695.0
2020-12-08,Immunoboost,1743.0
2020-12-09,Fungistop,1699.0
2020-12-09,Immunoboost,1584.0
2020-12-09,Dermaglow,1935.0
2020-12-09,Diabecheck,1665.0
2020-12-10,Dermaglow,1858.0
2020-12-10,Diabecheck,1674.0
2020-12-10,Fungistop,1723.0
2020-12-10,Immunoboost,1852.0
2020-12-11,Immunoboost,1560.0
2020-12-11,Dermaglow,1612.0
2020-12-11,Diabecheck,1593.0
2020-12-11,Fungistop,1568.0
2020-12-12,Immunoboost,1375.0
2020-12-12,Fungistop,1539.0
2020-12-12,Diabecheck,1473.0
2020-12-12,Dermaglow,1518.0
2020-12-13,Dermaglow,1491.0
2020-12-13,Diabecheck,1644.0
2020-12-13,Fungistop,1407.0
2020-12-13,Immunoboost,1412.0
2020-12-14,Dermaglow,1994.0
2020-12-14,Diabecheck,1499.0
2020-12-14,Fungistop,1526.0
2020-12-14,Immunoboost,1541.0
2020-12-15,Dermaglow,1786.0
2020-12-15,Diabecheck,1450.0
2020-12-15,Fungistop,1648.0
2020-12-15,Immunoboost,1721.0
2020-12-16,Immunoboost,1729.0
2020-12-16,Fungistop,1783.0
2020-12-16,Diabecheck,1583.0
2020-12-16,Dermaglow,1960.0
2020-12-17,Dermaglow,1943.0
2020-12-17,Diabecheck,1635.0
2020-12-17,Fungistop,1669.0
2020-12-17,Immunoboost,1511.0
2020-12-18,Dermaglow,1593.0
2020-12-18,Diabecheck,1611.0
2020-12-18,Fungistop,1473.0
2020-12-18,Immunoboost,1744.0
2020-12-19,Dermaglow,1626.0
2020-12-19,Diabecheck,1392.0
2020-12-19,Fungistop,1404.0
2020-12-19,Immunoboost,1283.0
2020-12-20,Fungistop,1492.0
2020-12-20,Immunoboost,1519.0
2020-12-20,Dermaglow,1666.0
2020-12-20,Diabecheck,1449.0
2020-12-21,Dermaglow,1875.0
2020-12-21,Diabecheck,1811.0
2020-12-21,Fungistop,1575.0
2020-12-21,Immunoboost,1741.0
2020-12-22,Dermaglow,1855.0
2020-12-22,Diabecheck,1455.0
2020-12-22,Fungistop,1802.0
2020-12-22,Immunoboost,1907.0
2020-12-23,Dermaglow,1746.0
2020-12-23,Diabecheck,1645.0
2020-12-23,Fungistop,1699.0
2020-12-23,Immunoboost,1783.0
2020-12-24,Fungistop,1733.0
2020-12-24,Immunoboost,1683.0
2020-12-24,Dermaglow,1996.0
2020-12-24,Diabecheck,1763.0
2020-12-25,Dermaglow,1784.0
2020-12-25,Diabecheck,1514.0
2020-12-25,Fungistop,1503.0
2020-12-25,Immunoboost,1573.0
2020-12-26,Fungistop,1718.0
2020-12-26,Immunoboost,1402.0
2020-12-26,Dermaglow,1424.0
2020-12-26,Diabecheck,1370.0
2020-12-27,Dermaglow,1542.0
2020-12-27,Diabecheck,1609.0
2020-12-27,Fungistop,1371.0
2020-12-27,Immunoboost,1734.0
2020-12-28,Dermaglow,1808.0
2020-12-28,Diabecheck,1336.0
2020-12-28,Fungistop,1545.0
2020-12-28,Immunoboost,1544.0
2020-12-29,Immunoboost,1658.0
2020-12-29,Fungistop,1494.0
2020-12-29,Diabecheck,1585.0
2020-12-29,Dermaglow,1821.0
2020-12-30,Dermaglow,1930.0
2020-12-30,Diabecheck,1625.0
2020-12-30,Fungistop,2041.0
2020-12-30,Immunoboost,1940.0
2020-12-31,Dermaglow,1900.0
2020-12-31,Diabecheck,1660.0
2020-12-31,Fungistop,1407.0
2020-12-31,Immunoboost,1895.0
2021-01-01,Dermaglow,1392.0
2021-01-01,Diabecheck,1476.0
2021-01-01,Fungistop,1239.0
2021-01-01,Immunoboost,1351.0
2021-01-02,Immunoboost,1615.0
2021-01-02,Fungistop,1486.0
2021-01-02,Diabecheck,1119.0
2021-01-02,Dermaglow,1527.0
2021-01-03,Dermaglow,1311.0
2021-01-03,Diabecheck,1373.0
2021-01-03,Fungistop,1204.0
2021-01-03,Immunoboost,1460.0
2021-01-04,Dermaglow,1688.0
2021-01-04,Diabecheck,1322.0
2021-01-04,Fungistop,1344.0
2021-01-04,Immunoboost,1545.0
2021-01-05,Dermaglow,1650.0
2021-01-05,Diabecheck,1605.0
2021-01-05,Fungistop,1538.0
2021-01-05,Immunoboost,1602.0
2021-01-06,Fungistop,1572.0
2021-01-06,Immunoboost,1657.0
2021-01-06,Dermaglow,1666.0
2021-01-06,Diabecheck,1855.0
2021-01-07,Dermaglow,1509.0
2021-01-07,Diabecheck,1535.0
2021-01-07,Fungistop,1326.0
2021-01-07,Immunoboost,1798.0
2021-01-08,Dermaglow,1812.0
2021-01-08,Diabecheck,1374.0
2021-01-08,Fungistop,1464.0
2021-01-08,Immunoboost,1481.0
2021-01-09,Dermaglow,1367.0
2021-01-09,Diabecheck,1500.0
2021-01-09,Fungistop,1276.0
2021-01-09,Immunoboost,1242.0
2021-01-10,Fungistop,1414.0
2021-01-10,Immunoboost,1346.0
2021-01-10,Dermaglow,1749.0
2021-01-10,Diabecheck,1094.0
2021-01-11,Dermaglow,1626.0
2021-01-11,Diabecheck,1312.0
2021-01-11,Fungistop,1356.0
2021-01-11,Immunoboost,1324.0
2021-01-12,Fungistop,1425.0
2021-01-12,Immunoboost,1810.0
2021-01-12,Dermaglow,1767.0
2021-01-12,Diabecheck,1294.0
2021-01-13,Dermaglow,1474.0
2021-01-13,Diabecheck,1507.0
2021-01-13,Fungistop,1382.0
2021-01-13,Immunoboost,1411.0
2021-01-14,Immunoboost,1711.0
2021-01-14,Dermaglow,1745.0
2021-01-14,Diabecheck,1269.0
2021-01-14,Fungistop,1125.0
2021-01-15,Diabecheck,1471.0
2021-01-15,Fungistop,1137.0
2021-01-15,Dermaglow,1521.0
2021-01-15,Immunoboost,1527.0
2021-01-16,Immunoboost,1292.0
2021-01-16,Fungistop,1348.0
2021-01-16,Dermaglow,1484.0
2021-01-16,Diabecheck,1209.0
2021-01-17,Dermaglow,1344.0
2021-01-17,Diabecheck,1022.0
2021-01-17,Fungistop,1248.0
2021-01-17,Immunoboost,1231.0
2021-01-18,Dermaglow,1480.0
2021-01-18,Diabecheck,1499.0
2021-01-18,Fungistop,1274.0
2021-01-18,Immunoboost,1449.0
2021-01-19,Dermaglow,1581.0
2021-01-19,Diabecheck,1392.0
2021-01-19,Fungistop,1501.0
2021-01-19,Immunoboost,1306.0
2021-01-20,Immunoboost,1483.0
2021-01-20,Fungistop,1491.0
2021-01-20,Diabecheck,1381.0
2021-01-20,Dermaglow,1694.0
2021-01-21,Dermaglow,1542.0
2021-01-21,Diabecheck,1597.0
2021-01-21,Fungistop,1495.0
2021-01-21,Immunoboost,1742.0
2021-01-22,Dermaglow,1605.0
2021-01-22,Diabecheck,1504.0
2021-01-22,Fungistop,1290.0
2021-01-22,Immunoboost,1572.0
2021-01-23,Dermaglow,1390.0
2021-01-23,Diabecheck,1410.0
2021-01-23,Fungistop,1134.0
2021-01-23,Immunoboost,1583.0
2021-01-24,Fungistop,1432.0
2021-01-24,Immunoboost,1194.0
2021-01-24,Dermaglow,1437.0
2021-01-24,Diabecheck,1297.0
2021-01-25,Dermaglow,1459.0
2021-01-25,Diabecheck,1259.0
2021-01-25,Fungistop,1508.0
2021-01-25,Immunoboost,1358.0
2021-01-26,Dermaglow,1871.0
2021-01-26,Diabecheck,1239.0
2021-01-26,Fungistop,1751.0
2021-01-26,Immunoboost,1677.0
2021-01-27,Dermaglow,1651.0
2021-01-27,Diabecheck,1337.0
2021-01-27,Fungistop,1435.0
2021-01-27,Immunoboost,1697.0
2021-01-28,Fungistop,1417.0
