Date,SKU,lower_bound_demand,real_demand,upper_bound_demand,exceptions,Confidence
2021-02-02 00:00:00,AntifungalY CS,,80.0,,,0.85
2021-02-02 00:00:00,AntifungalY OS,,431.0,,,0.75
2021-02-02 00:00:00,AntifungalY RS,,349.0,,,0.8
2021-02-02 00:00:00,Bronchosafe CS,,302.0,,,0.75
2021-02-02 00:00:00,Bronchosafe OS,,386.0,,,0.75
2021-02-02 00:00:00,Bronchosafe RS,,539.0,,,0.8
2021-02-02 00:00:00,Cancerend CS,,214.0,,,0.8
2021-02-02 00:00:00,Cancerend OS,,431.0,,,0.75
2021-02-02 00:00:00,Cancerend RS,,837.0,,,0.75
2021-02-02 00:00:00,Cardioplus CS,,130.0,,,0.8
2021-02-02 00:00:00,Cardioplus OS,,266.0,,,0.8
2021-02-02 00:00:00,Cardioplus RS,,222.0,,,0.8
2021-02-02 00:00:00,Cardiox CS,,133.0,,,0.8
2021-02-02 00:00:00,Cardiox OS,,271.0,,,0.85
2021-02-02 00:00:00,Cardiox RS,,227.0,,,0.8
2021-02-02 00:00:00,Dermacil CS,,406.0,,,0.85
2021-02-02 00:00:00,Dermacil OS,,379.0,,,0.75
2021-02-02 00:00:00,Dermacil RS,,269.0,,,0.8
2021-02-02 00:00:00,Dermaglow CS,,415.0,,,0.85
2021-02-02 00:00:00,Dermaglow OS,,379.0,,,0.75
2021-02-02 00:00:00,Dermaglow RS,,269.0,,,0.8
2021-02-02 00:00:00,Diabecheck CS,,423.0,,,0.8
2021-02-02 00:00:00,Diabecheck OS,,395.0,,,0.8
2021-02-02 00:00:00,Diabecheck RS,,494.0,,,0.8
2021-02-02 00:00:00,Diabetrol CS,,423.0,,,0.8
2021-02-02 00:00:00,Diabetrol OS,,388.0,,,0.8
2021-02-02 00:00:00,Diabetrol RS,,494.0,,,0.8
2021-02-02 00:00:00,Fungistop CS,,80.0,,,0.8
2021-02-02 00:00:00,Fungistop OS,,431.0,,,0.75
2021-02-02 00:00:00,Fungistop RS,,342.0,,,0.75
2021-02-02 00:00:00,Hepafix CS,,512.0,,,0.85
2021-02-02 00:00:00,Hepafix OS,,334.0,,,0.85
2021-02-02 00:00:00,Hepafix RS,,461.0,,,0.85
2021-02-02 00:00:00,Hepaheal CS,,502.0,,,0.85
2021-02-02 00:00:00,Hepaheal OS,,328.0,,,0.85
2021-02-02 00:00:00,Hepaheal RS,,471.0,,,0.85
2021-02-02 00:00:00,Immunoboost CS,,302.0,,,0.75
2021-02-02 00:00:00,Immunoboost OS,,379.0,,,0.75
2021-02-02 00:00:00,Immunoboost RS,,529.0,,,0.75
2021-02-02 00:00:00,Immunomax CS,,302.0,,,0.75
2021-02-02 00:00:00,Immunomax OS,,379.0,,,0.75
2021-02-02 00:00:00,Immunomax RS,,539.0,,,0.8
2021-02-02 00:00:00,Neurofix CS,,210.0,,,0.75
2021-02-02 00:00:00,Neurofix OS,,423.0,,,0.75
2021-02-02 00:00:00,Neurofix RS,,837.0,,,0.75
2021-02-02 00:00:00,Osteofix CS,,363.0,,,0.85
2021-02-02 00:00:00,Osteofix OS,,218.0,,,0.85
2021-02-02 00:00:00,Osteofix RS,,295.0,,,0.85
2021-02-02 00:00:00,Osteogrow CS,,355.0,,,0.8
2021-02-02 00:00:00,Osteogrow OS,,214.0,,,0.85
2021-02-02 00:00:00,Osteogrow RS,,290.0,,,0.85
2021-02-02 00:00:00,Paingelix CS,,130.0,,,0.85
2021-02-02 00:00:00,Paingelix OS,,271.0,,,0.85
2021-02-02 00:00:00,Paingelix RS,,227.0,,,0.8
2021-02-02 00:00:00,Thyrocare CS,,210.0,,,0.75
2021-02-02 00:00:00,Thyrocare OS,,431.0,,,0.75
2021-02-02 00:00:00,Thyrocare RS,,820.0,,,0.75
2021-02-02 00:00:00,Virustop CS,,296.0,,,0.75
2021-02-02 00:00:00,Virustop OS,,379.0,,,0.75
2021-02-02 00:00:00,Virustop RS,,539.0,,,0.8
2021-02-09 00:00:00,AntifungalY CS,,80.0,,,0.85
2021-02-09 00:00:00,AntifungalY OS,,437.0,,,0.75
2021-02-09 00:00:00,AntifungalY RS,,353.0,,,0.8
2021-02-09 00:00:00,Bronchosafe CS,,295.0,,,0.75
2021-02-09 00:00:00,Bronchosafe OS,,372.0,,,0.75
2021-02-09 00:00:00,Bronchosafe RS,,505.0,,,0.8
2021-02-09 00:00:00,Cancerend CS,,222.0,,,0.8
2021-02-09 00:00:00,Cancerend OS,,442.0,,,0.75
2021-02-09 00:00:00,Cancerend RS,,856.0,,,0.75
2021-02-09 00:00:00,Cardioplus CS,,125.0,,,0.8
2021-02-09 00:00:00,Cardioplus OS,,265.0,,,0.8
2021-02-09 00:00:00,Cardioplus RS,,218.0,,,0.8
2021-02-09 00:00:00,Cardiox CS,,127.0,,,0.8
2021-02-09 00:00:00,Cardiox OS,,270.0,,,0.85
2021-02-09 00:00:00,Cardiox RS,,222.0,,,0.8
2021-02-09 00:00:00,Dermacil CS,,397.0,,,0.85
2021-02-09 00:00:00,Dermacil OS,,369.0,,,0.75
2021-02-09 00:00:00,Dermacil RS,,263.0,,,0.8
2021-02-09 00:00:00,Dermaglow CS,,405.0,,,0.85
2021-02-09 00:00:00,Dermaglow OS,,369.0,,,0.75
2021-02-09 00:00:00,Dermaglow RS,,263.0,,,0.8
2021-02-09 00:00:00,Diabecheck CS,,437.0,,,0.8
2021-02-09 00:00:00,Diabecheck OS,,408.0,,,0.8
2021-02-09 00:00:00,Diabecheck RS,,511.0,,,0.8
2021-02-09 00:00:00,Diabetrol CS,,437.0,,,0.8
2021-02-09 00:00:00,Diabetrol OS,,400.0,,,0.8
2021-02-09 00:00:00,Diabetrol RS,,511.0,,,0.8
2021-02-09 00:00:00,Fungistop CS,,80.0,,,0.8
2021-02-09 00:00:00,Fungistop OS,,437.0,,,0.75
2021-02-09 00:00:00,Fungistop RS,,346.0,,,0.75
2021-02-09 00:00:00,Hepafix CS,,521.0,,,0.85
2021-02-09 00:00:00,Hepafix OS,,340.0,,,0.85
2021-02-09 00:00:00,Hepafix RS,,470.0,,,0.85
2021-02-09 00:00:00,Hepaheal CS,,511.0,,,0.85
2021-02-09 00:00:00,Hepaheal OS,,334.0,,,0.85
2021-02-09 00:00:00,Hepaheal RS,,479.0,,,0.85
2021-02-09 00:00:00,Immunoboost CS,,295.0,,,0.75
2021-02-09 00:00:00,Immunoboost OS,,364.0,,,0.75
2021-02-09 00:00:00,Immunoboost RS,,495.0,,,0.75
2021-02-09 00:00:00,Immunomax CS,,295.0,,,0.75
2021-02-09 00:00:00,Immunomax OS,,364.0,,,0.75
2021-02-09 00:00:00,Immunomax RS,,505.0,,,0.8
2021-02-09 00:00:00,Neurofix CS,,217.0,,,0.75
2021-02-09 00:00:00,Neurofix OS,,433.0,,,0.75
2021-02-09 00:00:00,Neurofix RS,,856.0,,,0.75
2021-02-09 00:00:00,Osteofix CS,,365.0,,,0.85
2021-02-09 00:00:00,Osteofix OS,,222.0,,,0.85
2021-02-09 00:00:00,Osteofix RS,,300.0,,,0.85
2021-02-09 00:00:00,Osteogrow CS,,358.0,,,0.8
2021-02-09 00:00:00,Osteogrow OS,,217.0,,,0.85
2021-02-09 00:00:00,Osteogrow RS,,295.0,,,0.85
2021-02-09 00:00:00,Paingelix CS,,125.0,,,0.85
2021-02-09 00:00:00,Paingelix OS,,270.0,,,0.85
2021-02-09 00:00:00,Paingelix RS,,222.0,,,0.8
2021-02-09 00:00:00,Thyrocare CS,,217.0,,,0.75
2021-02-09 00:00:00,Thyrocare OS,,442.0,,,0.75
2021-02-09 00:00:00,Thyrocare RS,,839.0,,,0.75
2021-02-09 00:00:00,Virustop CS,,289.0,,,0.75
2021-02-09 00:00:00,Virustop OS,,364.0,,,0.75
2021-02-09 00:00:00,Virustop RS,,505.0,,,0.8
2021-02-16 00:00:00,AntifungalY CS,,78.0,,,0.85
2021-02-16 00:00:00,AntifungalY OS,,428.0,,,0.75
2021-02-16 00:00:00,AntifungalY RS,,345.0,,,0.8
2021-02-16 00:00:00,Bronchosafe CS,,299.0,,,0.75
2021-02-16 00:00:00,Bronchosafe OS,,372.0,,,0.75
2021-02-16 00:00:00,Bronchosafe RS,,528.0,,,0.8
2021-02-16 00:00:00,Cancerend CS,,214.0,,,0.8
2021-02-16 00:00:00,Cancerend OS,,430.0,,,0.75
2021-02-16 00:00:00,Cancerend RS,,832.0,,,0.75
2021-02-16 00:00:00,Cardioplus CS,,128.0,,,0.8
2021-02-16 00:00:00,Cardioplus OS,,261.0,,,0.8
2021-02-16 00:00:00,Cardioplus RS,,220.0,,,0.8
2021-02-16 00:00:00,Cardiox CS,,131.0,,,0.8
2021-02-16 00:00:00,Cardiox OS,,266.0,,,0.85
2021-02-16 00:00:00,Cardiox RS,,225.0,,,0.8
2021-02-16 00:00:00,Dermacil CS,,391.0,,,0.85
2021-02-16 00:00:00,Dermacil OS,,361.0,,,0.75
2021-02-16 00:00:00,Dermacil RS,,257.0,,,0.8
2021-02-16 00:00:00,Dermaglow CS,,398.0,,,0.85
2021-02-16 00:00:00,Dermaglow OS,,361.0,,,0.75
2021-02-16 00:00:00,Dermaglow RS,,257.0,,,0.8
2021-02-16 00:00:00,Diabecheck CS,,410.0,,,0.8
2021-02-16 00:00:00,Diabecheck OS,,382.0,,,0.8
2021-02-16 00:00:00,Diabecheck RS,,478.0,,,0.8
2021-02-16 00:00:00,Diabetrol CS,,410.0,,,0.8
2021-02-16 00:00:00,Diabetrol OS,,374.0,,,0.8
2021-02-16 00:00:00,Diabetrol RS,,478.0,,,0.8
2021-02-16 00:00:00,Fungistop CS,,78.0,,,0.8
2021-02-16 00:00:00,Fungistop OS,,428.0,,,0.75
2021-02-16 00:00:00,Fungistop RS,,339.0,,,0.75
2021-02-16 00:00:00,Hepafix CS,,512.0,,,0.85
2021-02-16 00:00:00,Hepafix OS,,335.0,,,0.85
2021-02-16 00:00:00,Hepafix RS,,463.0,,,0.85
2021-02-16 00:00:00,Hepaheal CS,,502.0,,,0.85
2021-02-16 00:00:00,Hepaheal OS,,328.0,,,0.85
2021-02-16 00:00:00,Hepaheal RS,,472.0,,,0.85
2021-02-16 00:00:00,Immunoboost CS,,299.0,,,0.75
2021-02-16 00:00:00,Immunoboost OS,,365.0,,,0.75
2021-02-16 00:00:00,Immunoboost RS,,518.0,,,0.75
2021-02-16 00:00:00,Immunomax CS,,299.0,,,0.75
2021-02-16 00:00:00,Immunomax OS,,365.0,,,0.75
2021-02-16 00:00:00,Immunomax RS,,528.0,,,0.8
2021-02-16 00:00:00,Neurofix CS,,210.0,,,0.75
2021-02-16 00:00:00,Neurofix OS,,421.0,,,0.75
2021-02-16 00:00:00,Neurofix RS,,832.0,,,0.75
2021-02-16 00:00:00,Osteofix CS,,356.0,,,0.85
2021-02-16 00:00:00,Osteofix OS,,216.0,,,0.85
2021-02-16 00:00:00,Osteofix RS,,292.0,,,0.85
2021-02-16 00:00:00,Osteogrow CS,,349.0,,,0.8
2021-02-16 00:00:00,Osteogrow OS,,212.0,,,0.85
2021-02-16 00:00:00,Osteogrow RS,,287.0,,,0.85
2021-02-16 00:00:00,Paingelix CS,,128.0,,,0.85
2021-02-16 00:00:00,Paingelix OS,,266.0,,,0.85
2021-02-16 00:00:00,Paingelix RS,,225.0,,,0.8
2021-02-16 00:00:00,Thyrocare CS,,210.0,,,0.75
2021-02-16 00:00:00,Thyrocare OS,,430.0,,,0.75
2021-02-16 00:00:00,Thyrocare RS,,816.0,,,0.75
2021-02-16 00:00:00,Virustop CS,,293.0,,,0.75
2021-02-16 00:00:00,Virustop OS,,365.0,,,0.75
2021-02-16 00:00:00,Virustop RS,,528.0,,,0.8
2021-02-23 00:00:00,AntifungalY CS,,67.0,,,0.85
2021-02-23 00:00:00,AntifungalY OS,,361.0,,,0.75
2021-02-23 00:00:00,AntifungalY RS,,292.0,,,0.8
2021-02-23 00:00:00,Bronchosafe CS,,266.0,,,0.75
2021-02-23 00:00:00,Bronchosafe OS,,344.0,,,0.75
2021-02-23 00:00:00,Bronchosafe RS,,444.0,,,0.8
2021-02-23 00:00:00,Cancerend CS,,196.0,,,0.8
2021-02-23 00:00:00,Cancerend OS,,390.0,,,0.75
2021-02-23 00:00:00,Cancerend RS,,753.0,,,0.75
2021-02-23 00:00:00,Cardioplus CS,,118.0,,,0.8
2021-02-23 00:00:00,Cardioplus OS,,238.0,,,0.8
2021-02-23 00:00:00,Cardioplus RS,,200.0,,,0.8
2021-02-23 00:00:00,Cardiox CS,,121.0,,,0.8
2021-02-23 00:00:00,Cardiox OS,,243.0,,,0.85
2021-02-23 00:00:00,Cardiox RS,,204.0,,,0.8
2021-02-23 00:00:00,Dermacil CS,,361.0,,,0.85
2021-02-23 00:00:00,Dermacil OS,,330.0,,,0.75
2021-02-23 00:00:00,Dermacil RS,,237.0,,,0.8
2021-02-23 00:00:00,Dermaglow CS,,369.0,,,0.85
2021-02-23 00:00:00,Dermaglow OS,,330.0,,,0.75
2021-02-23 00:00:00,Dermaglow RS,,237.0,,,0.8
2021-02-23 00:00:00,Diabecheck CS,,391.0,,,0.8
2021-02-23 00:00:00,Diabecheck OS,,363.0,,,0.8
2021-02-23 00:00:00,Diabecheck RS,,457.0,,,0.8
2021-02-23 00:00:00,Diabetrol CS,,391.0,,,0.8
2021-02-23 00:00:00,Diabetrol OS,,356.0,,,0.8
2021-02-23 00:00:00,Diabetrol RS,,457.0,,,0.8
2021-02-23 00:00:00,Fungistop CS,,67.0,,,0.8
2021-02-23 00:00:00,Fungistop OS,,361.0,,,0.75
2021-02-23 00:00:00,Fungistop RS,,286.0,,,0.75
2021-02-23 00:00:00,Hepafix CS,,478.0,,,0.85
2021-02-23 00:00:00,Hepafix OS,,312.0,,,0.85
2021-02-23 00:00:00,Hepafix RS,,425.0,,,0.85
2021-02-23 00:00:00,Hepaheal CS,,468.0,,,0.85
2021-02-23 00:00:00,Hepaheal OS,,305.0,,,0.85
2021-02-23 00:00:00,Hepaheal RS,,434.0,,,0.85
2021-02-23 00:00:00,Immunoboost CS,,266.0,,,0.75
2021-02-23 00:00:00,Immunoboost OS,,337.0,,,0.75
2021-02-23 00:00:00,Immunoboost RS,,435.0,,,0.75
2021-02-23 00:00:00,Immunomax CS,,266.0,,,0.75
2021-02-23 00:00:00,Immunomax OS,,337.0,,,0.75
2021-02-23 00:00:00,Immunomax RS,,444.0,,,0.8
2021-02-23 00:00:00,Neurofix CS,,192.0,,,0.75
2021-02-23 00:00:00,Neurofix OS,,382.0,,,0.75
2021-02-23 00:00:00,Neurofix RS,,753.0,,,0.75
2021-02-23 00:00:00,Osteofix CS,,335.0,,,0.85
2021-02-23 00:00:00,Osteofix OS,,203.0,,,0.85
2021-02-23 00:00:00,Osteofix RS,,275.0,,,0.85
2021-02-23 00:00:00,Osteogrow CS,,329.0,,,0.8
2021-02-23 00:00:00,Osteogrow OS,,199.0,,,0.85
2021-02-23 00:00:00,Osteogrow RS,,270.0,,,0.85
2021-02-23 00:00:00,Paingelix CS,,118.0,,,0.85
2021-02-23 00:00:00,Paingelix OS,,243.0,,,0.85
2021-02-23 00:00:00,Paingelix RS,,204.0,,,0.8
2021-02-23 00:00:00,Thyrocare CS,,192.0,,,0.75
2021-02-23 00:00:00,Thyrocare OS,,390.0,,,0.75
2021-02-23 00:00:00,Thyrocare RS,,738.0,,,0.75
2021-02-23 00:00:00,Virustop CS,,261.0,,,0.75
2021-02-23 00:00:00,Virustop OS,,337.0,,,0.75
2021-02-23 00:00:00,Virustop RS,,444.0,,,0.8
2021-03-02 00:00:00,AntifungalY CS,,77.0,,,0.85
2021-03-02 00:00:00,AntifungalY OS,,432.0,,,0.75
2021-03-02 00:00:00,AntifungalY RS,,348.0,,,0.8
2021-03-02 00:00:00,Bronchosafe CS,,271.0,,,0.75
2021-03-02 00:00:00,Bronchosafe OS,,349.0,,,0.75
2021-03-02 00:00:00,Bronchosafe RS,,443.0,,,0.8
2021-03-02 00:00:00,Cancerend CS,,208.0,,,0.8
2021-03-02 00:00:00,Cancerend OS,,420.0,,,0.75
2021-03-02 00:00:00,Cancerend RS,,812.0,,,0.75
2021-03-02 00:00:00,Cardioplus CS,,128.0,,,0.8
2021-03-02 00:00:00,Cardioplus OS,,259.0,,,0.8
2021-03-02 00:00:00,Cardioplus RS,,215.0,,,0.8
2021-03-02 00:00:00,Cardiox CS,,131.0,,,0.8
2021-03-02 00:00:00,Cardiox OS,,264.0,,,0.85
2021-03-02 00:00:00,Cardiox RS,,220.0,,,0.8
2021-03-02 00:00:00,Dermacil CS,,388.0,,,0.85
2021-03-02 00:00:00,Dermacil OS,,366.0,,,0.75
2021-03-02 00:00:00,Dermacil RS,,258.0,,,0.8
2021-03-02 00:00:00,Dermaglow CS,,395.0,,,0.85
2021-03-02 00:00:00,Dermaglow OS,,366.0,,,0.75
2021-03-02 00:00:00,Dermaglow RS,,258.0,,,0.8
2021-03-02 00:00:00,Diabecheck CS,,398.0,,,0.8
2021-03-02 00:00:00,Diabecheck OS,,370.0,,,0.8
2021-03-02 00:00:00,Diabecheck RS,,465.0,,,0.8
2021-03-02 00:00:00,Diabetrol CS,,398.0,,,0.8
2021-03-02 00:00:00,Diabetrol OS,,363.0,,,0.8
2021-03-02 00:00:00,Diabetrol RS,,465.0,,,0.8
2021-03-02 00:00:00,Fungistop CS,,77.0,,,0.8
2021-03-02 00:00:00,Fungistop OS,,432.0,,,0.75
2021-03-02 00:00:00,Fungistop RS,,341.0,,,0.75
2021-03-02 00:00:00,Hepafix CS,,504.0,,,0.85
2021-03-02 00:00:00,Hepafix OS,,330.0,,,0.85
2021-03-02 00:00:00,Hepafix RS,,456.0,,,0.85
2021-03-02 00:00:00,Hepaheal CS,,494.0,,,0.85
2021-03-02 00:00:00,Hepaheal OS,,323.0,,,0.85
2021-03-02 00:00:00,Hepaheal RS,,465.0,,,0.85
2021-03-02 00:00:00,Immunoboost CS,,271.0,,,0.75
2021-03-02 00:00:00,Immunoboost OS,,343.0,,,0.75
2021-03-02 00:00:00,Immunoboost RS,,434.0,,,0.75
