product_id_left,title_orig_left,merchant_title_left,merchant_name_left,merchant_info_subtitle_left,merchant_rating_count_left,merchant_rating_left,merchant_id_left,merchant_has_profile_picture_left,merchant_profile_picture_left,S.No.
5e9ae51d43d6a96e303acdb0,"Stethoscope - A device used for listening to internal sounds in the body, commonly used for listening to heart and lung sounds.",zgrdejia,zgrdejia,(568 notes),568,4.128521127,595097d6a26f6e070cb878d1,0,,1.0
5ec49d527d7044ccfa3f1c04,Thermometer - An instrument used to measure body temperature.,lanniesdesign,lanniesdesign,"84 % avis positifs (3,515 notes)",3515,3.983783784,56cd27b048e91e13aa3986e4,0,,2.0
5e9da39dc737cf255eddd4bf,Sphygmomanometer - A device used to measure blood pressure.,easymarket,easymarket,87% Feedback positivo (557 classificaÃÂÃÂ§ÃÂÃÂµes),557,4.123877917,5d3c419de4b65d4fb81e7286,0,,3.0
5d1db3c0e2b5cc0f74e091af,Otoscope - A tool used for visual examination of the ear canal and eardrum.,Molesfashion,molesfashion,"83 % avis positifs (5,083 notes)",5083,3.947471965,566eaa533a698c6442549a74,0,,4.0
5c85d47641ec3b55d4d14f79,Ophthalmoscope - An instrument for inspecting the retina and other parts of the eye.,Petha's boutique,pethasboutique,"86 % avis positifs (39,381 notes)",39381,4.066326401,566012f6769a5629aefca555,0,,5.0
57416238fc6f7d5d698f3c9f,ECG (Electrocardiogram) Machine - Used to record the electrical activity of the heart over a period of time.,uranus,hongkonghaijietradecolimited,"91 % avis positifs (23,609 notes)",23609,4.25659706,5576bb43de4a8c24953ae98f,0,,6.0
5e1056784fff5f26e6f1745d,Ultrasound Machine - Utilizes high-frequency sound waves to create images of the inside of the body.,huaxianglarou,huaxianglarou,"90 % avis positifs (4,516 notes)",4516,4.231842338,5ae93337d204cc177313f242,0,,7.0
5e5e09065b03ef0b420f333f,X-ray Machine - Used for radiography to view the internal structure of an object.,Memo2,memo2,"81 % avis positifs (18,138 notes)",18138,3.831513949,58ba636a69ad29505a730852,0,,8.0
5cae1d6c836ecb39e57e9e80,MRI Scanner - Employs magnetic fields and radio waves to create detailed images of the organs and tissues.,Sangboo Store,sangboostore,"(10,600 derece)",10600,3.86754717,582833faea77701b456c786a,0,,9.0
58940d436a0d3d5da4e95a38,CT Scanner - Uses X-rays and computer technology to create cross-sectional images of the body.,SaraHouse,sarahouse,"83 % avis positifs (17,752 notes)",17752,3.899673276,56458aa03a698c35c9050988,0,,10.0
5eb4dcebdaa4b90940076979,Spirometer - Measures the air capacity of the lungs.,Unnistore,unnistore,"85 % avis positifs (47,981 notes)",47981,4.025364207,5684eae9daaaee26a0fdadba,0,,11.0
5e7adc5458a95b3323a3c6eb,Glucometer - A device for measuring the level of glucose in the blood.,Cuetaes,cuetaes,"83 % avis positifs (16,741 notes)",16741,3.920852996,55dc3dcd8950c811f73a48a4,0,,12.0
5d2fd5a9af7a0c5b21369a05,Pulse Oximeter - Used to measure the oxygen saturation of the blood.,Oucho co. ltd.,ouchocoltd,"85 % avis positifs (12,913 notes)",12913,3.981336637,55ed5a3362e273427107759e,1,https://s3-us-west-1.amazonaws.com/sweeper-production-merchantimage/dp_55ed5a3362e273427107759e.jpg,13.0
