Date,Product,lower_bound_demand,real_demand,upper_bound_demand,exceptions,Confidence
2020-09-01,dog-blue-harness,,1556.0,,,0.6043956043956044
2020-09-01,dog-safety-vest,,1509.0,,,0.5714285714285714
2020-09-01,large-dog-apparel,,1409.0,,,0.6923076923076923
2020-09-01,small-dog-apparel,,1646.0,,,0.5714285714285714
2020-09-02,dog-blue-harness,,1615.0,,,
2020-09-02,dog-safety-vest,,1520.0,,,
2020-09-02,large-dog-apparel,,1476.0,,,
2020-09-02,small-dog-apparel,,1629.0,,,
2020-09-03,dog-blue-harness,,1661.0,,,
2020-09-03,dog-safety-vest,,1332.0,,,
2020-09-03,large-dog-apparel,,1300.0,,,
2020-09-03,small-dog-apparel,,1352.0,,,
2020-09-04,dog-blue-harness,,1640.0,,,
2020-09-04,dog-safety-vest,,1256.0,,,
2020-09-04,large-dog-apparel,,1599.0,,,
2020-09-04,small-dog-apparel,,1585.0,,,
2020-09-05,dog-blue-harness,,1714.0,,,
2020-09-05,dog-safety-vest,,1306.0,,,
2020-09-05,large-dog-apparel,,1472.0,,,
2020-09-05,small-dog-apparel,,1319.0,,,
2020-09-06,dog-blue-harness,,1640.0,,,
2020-09-06,dog-safety-vest,,1541.0,,,
2020-09-06,large-dog-apparel,,1386.0,,,
2020-09-06,small-dog-apparel,,1534.0,,,
2020-09-07,dog-blue-harness,,1667.0,,,
2020-09-07,dog-safety-vest,,1321.0,,,
2020-09-07,large-dog-apparel,,1146.0,,,
2020-09-07,small-dog-apparel,,1442.0,,,
2020-09-08,dog-blue-harness,,1681.0,,,
2020-09-08,dog-safety-vest,,1619.0,,,
2020-09-08,large-dog-apparel,,1539.0,,,
2020-09-08,small-dog-apparel,,1521.0,,,
2020-09-09,dog-blue-harness,,1777.0,,,
2020-09-09,dog-safety-vest,,1542.0,,,
2020-09-09,large-dog-apparel,,1543.0,,,
2020-09-09,small-dog-apparel,,1703.0,,,
2020-09-10,dog-blue-harness,,1960.0,,,
2020-09-10,dog-safety-vest,,1649.0,,,
2020-09-10,large-dog-apparel,,1402.0,,,
2020-09-10,small-dog-apparel,,1561.0,,,
2020-09-11,dog-blue-harness,,1753.0,,,
2020-09-11,dog-safety-vest,,1456.0,,,
2020-09-11,large-dog-apparel,,1424.0,,,
2020-09-11,small-dog-apparel,,1596.0,,,
2020-09-12,dog-blue-harness,,1582.0,,,
2020-09-12,dog-safety-vest,,1106.0,,,
2020-09-12,large-dog-apparel,,1385.0,,,
2020-09-12,small-dog-apparel,,1398.0,,,
2020-09-13,dog-blue-harness,,1392.0,,,
2020-09-13,dog-safety-vest,,1419.0,,,
2020-09-13,large-dog-apparel,,1510.0,,,
2020-09-13,small-dog-apparel,,1437.0,,,
2020-09-14,dog-blue-harness,,1806.0,,,
2020-09-14,dog-safety-vest,,1561.0,,,
2020-09-14,large-dog-apparel,,1534.0,,,
2020-09-14,small-dog-apparel,,1530.0,,,
2020-09-15,dog-blue-harness,,2022.0,,,
2020-09-15,dog-safety-vest,,1631.0,,,
2020-09-15,large-dog-apparel,,1212.0,,,
2020-09-15,small-dog-apparel,,1376.0,,,
2020-09-16,dog-blue-harness,,1597.0,,,
2020-09-16,dog-safety-vest,,1513.0,,,
2020-09-16,large-dog-apparel,,1431.0,,,
2020-09-16,small-dog-apparel,,1507.0,,,
2020-09-17,dog-blue-harness,,1806.0,,,
2020-09-17,dog-safety-vest,,1525.0,,,
2020-09-17,large-dog-apparel,,1545.0,,,
2020-09-17,small-dog-apparel,,1493.0,,,
2020-09-18,dog-blue-harness,,1519.0,,,
2020-09-18,dog-safety-vest,,1517.0,,,
2020-09-18,large-dog-apparel,,1522.0,,,
2020-09-18,small-dog-apparel,,1424.0,,,
2020-09-19,dog-blue-harness,,1636.0,,,
2020-09-19,dog-safety-vest,,1089.0,,,
2020-09-19,large-dog-apparel,,1393.0,,,
2020-09-19,small-dog-apparel,,1429.0,,,
2020-09-20,dog-blue-harness,,1466.0,,,
2020-09-20,dog-safety-vest,,1073.0,,,
2020-09-20,large-dog-apparel,,1285.0,,,
2020-09-20,small-dog-apparel,,1403.0,,,
2020-09-21,dog-blue-harness,,1674.0,,,
2020-09-21,dog-safety-vest,,1572.0,,,
2020-09-21,large-dog-apparel,,1497.0,,,
2020-09-21,small-dog-apparel,,1391.0,,,
2020-09-22,dog-blue-harness,,1497.0,,,
2020-09-22,dog-safety-vest,,1571.0,,,
2020-09-22,large-dog-apparel,,1259.0,,,
2020-09-22,small-dog-apparel,,1650.0,,,
2020-09-23,dog-blue-harness,,1838.0,,,
2020-09-23,dog-safety-vest,,1604.0,,,
2020-09-23,large-dog-apparel,,1465.0,,,
2020-09-23,small-dog-apparel,,1571.0,,,
