Title_left,Description_left,Units sold_left,Price (USD)_left,Channel_left,Supplier_left,ID_right,Name_right,Units sold_right,Price (EUR)_right,Channel_right,Supplier_right,Matched,Indicator,Match Score
Paingelix,Effective pain relief solution with advanced technology,180.0,299.99,Online Store,Pfizer,12345,Advanced Pain Management Solution with State-of-the-Art Technology,120,299.99,Retail Store,Bayer,True,Match,1.0
Paingelix,Effective pain relief solution with advanced technology,150.0,299.99,Chain Store,Merck,21098,"Unleash cognitive potential with innovative technology for a sharper, more focused mind.",150,139.99,Online Store,Merck,True,Match,1.0
Paingelix,Effective pain relief solution with advanced technology,120.0,299.99,Retail Store,Bayer,54321,Revolutionary Dermatology System for Advanced Skin Care,40,109.99,Chain Store,Merck,True,Match,0.9700000000000002
Paingelix,Effective pain relief solution with advanced technology,100.0,399.99,Online Store,Merck,12345,Advanced Pain Management Solution with State-of-the-Art Technology,150,299.99,Chain Store,Merck,True,Match,1.0
Paingelix,Effective pain relief solution with advanced technology,80.0,499.99,Chain Store,Bayer,78901,Sleek Design for Advanced Cardiac Health Monitoring,180,24.99,Chain Store,Bayer,True,Match,0.99
Paingelix,Effective pain relief solution with advanced technology,60.0,599.99,Retail Store,Pfizer,21098,"Unleash cognitive potential with innovative technology for a sharper, more focused mind.",160,149.99,Chain Store,Bayer,True,Match,0.9833333333333334
AntifungalY,Powerful antifungal fashion accessory for skin care,90.0,49.99,Retail Store,Bayer,21098,Skin Vitality Enhancer for a Radiant and Healthy Complexion,190,39.99,Retail Store,Bayer,True,Match,0.99
AntifungalY,Powerful antifungal fashion accessory for skin care,100.0,49.99,Online Store,Pfizer,54321,Designed to enhance breathing and provide reliable support for respiratory health,100,149.99,Online Store,Pfizer,True,Match,0.99
AntifungalY,Powerful antifungal fashion accessory for skin care,80.0,69.99,Chain Store,Pfizer,78901,Advanced Device for Effective Anti-Fungal Therapy,80,89.99,Online Store,Pfizer,True,Match,1.0
AntifungalY,Powerful antifungal fashion accessory for skin care,60.0,79.99,Online Store,Merck,54321,Designed to enhance breathing and provide reliable support for respiratory health,60,189.99,Online Store,Merck,True,Match,0.99
AntifungalY,Powerful antifungal fashion accessory for skin care,40.0,89.99,Chain Store,Merck,54321,Revolutionary Dermatology System for Advanced Skin Care,40,109.99,Chain Store,Merck,True,Match,0.99
Bronchosafe,Premium home appliance designed for respiratory wellness,120.0,499.99,Online Store,Pfizer,78901,Sleek Design for Advanced Cardiac Health Monitoring,120,39.99,Chain Store,Pfizer,True,Match,1.0
Bronchosafe,Premium home appliance designed for respiratory wellness,100.0,499.99,Retail Store,Merck,23456,Cutting-Edge Home Appliance Engineered for Optimal Respiratory Well-being,100,499.99,Retail Store,Merck,True,Match,0.99
Bronchosafe,Premium home appliance designed for respiratory wellness,80.0,499.99,Chain Store,Bayer,23456,Cutting-Edge Home Appliance Engineered for Optimal Respiratory Well-being,80,499.99,Chain Store,Bayer,True,Match,1.0
