Date,SKU,decomposition,real/pred,prediction_type,Demand
2021-02-02 00:00:00,AntifungalY_Chain Store,real,real,real,80.0
2021-02-02 00:00:00,Hepafix_Retail Store,real,real,real,461.0
2021-02-02 00:00:00,Hepaheal_Chain Store,real,real,real,502.0
2021-02-02 00:00:00,Hepaheal_Online Store,real,real,real,328.0
2021-02-02 00:00:00,Hepaheal_Retail Store,real,real,real,471.0
2021-02-02 00:00:00,Immunoboost_Chain Store,real,real,real,302.0
2021-02-02 00:00:00,Immunoboost_Online Store,real,real,real,379.0
2021-02-02 00:00:00,Immunoboost_Retail Store,real,real,real,529.0
2021-02-02 00:00:00,Immunomax_Chain Store,real,real,real,302.0
2021-02-02 00:00:00,Immunomax_Online Store,real,real,real,379.0
2021-02-02 00:00:00,Immunomax_Retail Store,real,real,real,539.0
2021-02-02 00:00:00,Neurofix_Chain Store,real,real,real,210.0
2021-02-02 00:00:00,Neurofix_Online Store,real,real,real,423.0
2021-02-02 00:00:00,Osteofix_Chain Store,real,real,real,363.0
2021-02-02 00:00:00,Osteofix_Online Store,real,real,real,218.0
2021-02-02 00:00:00,Osteofix_Retail Store,real,real,real,295.0
2021-02-02 00:00:00,Osteogrow_Chain Store,real,real,real,355.0
2021-02-02 00:00:00,Osteogrow_Online Store,real,real,real,214.0
2021-02-02 00:00:00,Osteogrow_Retail Store,real,real,real,290.0
2021-02-02 00:00:00,Paingelix_Chain Store,real,real,real,130.0
2021-02-02 00:00:00,Paingelix_Online Store,real,real,real,271.0
2021-02-02 00:00:00,Paingelix_Retail Store,real,real,real,227.0
2021-02-02 00:00:00,Thyrocare_Chain Store,real,real,real,210.0
2021-02-02 00:00:00,Thyrocare_Online Store,real,real,real,431.0
2021-02-02 00:00:00,Thyrocare_Retail Store,real,real,real,820.0
2021-02-02 00:00:00,Virustop_Chain Store,real,real,real,296.0
2021-02-02 00:00:00,Virustop_Online Store,real,real,real,379.0
2021-02-02 00:00:00,Virustop_Retail Store,real,real,real,539.0
2021-02-02 00:00:00,Hepafix_Online Store,real,real,real,334.0
2021-02-02 00:00:00,Hepafix_Chain Store,real,real,real,512.0
2021-02-02 00:00:00,Neurofix_Retail Store,real,real,real,837.0
2021-02-02 00:00:00,Fungistop_Online Store,real,real,real,431.0
2021-02-02 00:00:00,Fungistop_Retail Store,real,real,real,342.0
2021-02-02 00:00:00,AntifungalY_Online Store,real,real,real,431.0
2021-02-02 00:00:00,AntifungalY_Retail Store,real,real,real,349.0
2021-02-02 00:00:00,Bronchosafe_Chain Store,real,real,real,302.0
2021-02-02 00:00:00,Bronchosafe_Online Store,real,real,real,386.0
2021-02-02 00:00:00,Bronchosafe_Retail Store,real,real,real,539.0
2021-02-02 00:00:00,Cancerend_Chain Store,real,real,real,214.0
2021-02-02 00:00:00,Cancerend_Online Store,real,real,real,431.0
2021-02-02 00:00:00,Cardioplus_Chain Store,real,real,real,130.0
2021-02-02 00:00:00,Cardioplus_Online Store,real,real,real,266.0
2021-02-02 00:00:00,Cardioplus_Retail Store,real,real,real,222.0
2021-02-02 00:00:00,Cardiox_Chain Store,real,real,real,133.0
2021-02-02 00:00:00,Cardiox_Online Store,real,real,real,271.0
2021-02-02 00:00:00,Cardiox_Retail Store,real,real,real,227.0
2021-02-02 00:00:00,Cancerend_Retail Store,real,real,real,837.0
2021-02-02 00:00:00,Fungistop_Chain Store,real,real,real,80.0
2021-02-02 00:00:00,Dermacil_Chain Store,real,real,real,406.0
2021-02-02 00:00:00,Diabetrol_Retail Store,real,real,real,494.0
2021-02-02 00:00:00,Diabetrol_Online Store,real,real,real,388.0
2021-02-02 00:00:00,Diabetrol_Chain Store,real,real,real,423.0
2021-02-02 00:00:00,Diabecheck_Online Store,real,real,real,395.0
2021-02-02 00:00:00,Diabecheck_Chain Store,real,real,real,423.0
2021-02-02 00:00:00,Diabecheck_Retail Store,real,real,real,494.0
2021-02-02 00:00:00,Dermaglow_Online Store,real,real,real,379.0
2021-02-02 00:00:00,Dermaglow_Chain Store,real,real,real,415.0
2021-02-02 00:00:00,Dermacil_Retail Store,real,real,real,269.0
2021-02-02 00:00:00,Dermacil_Online Store,real,real,real,379.0
2021-02-02 00:00:00,Dermaglow_Retail Store,real,real,real,269.0
