Date,product,decomposition,real/pred,prediction_type,demand
2023-06-20,Immunoboost,pred,pred,lower_bound,337.0
2023-06-20,Immunoboost,pred,pred,predicted_value,399.0
2023-06-20,Immunoboost,pred,pred,upper_bound,460.0
2023-06-20,Immunoboost,stationarity,pred,predicted_value,0.0
2023-06-20,Immunomax,pred,pred,lower_bound,757.0
2023-06-20,Immunomax,pred,pred,predicted_value,927.0
2023-06-20,Immunomax,pred,pred,upper_bound,1106.0
2023-06-20,Hepaheal,trend_seasonality,pred,predicted_value,1353.0
2023-06-20,Immunomax,stationarity,pred,predicted_value,0.0
2023-06-20,Immunoboost,trend_seasonality,pred,predicted_value,399.0
2023-06-20,Hepaheal,stationarity,pred,predicted_value,0.0
2023-06-20,Hepafix,trend_seasonality,pred,predicted_value,980.0
2023-06-20,Hepaheal,pred,pred,upper_bound,1619.0
2023-06-20,Hepaheal,pred,pred,predicted_value,1353.0
2023-06-20,Hepaheal,pred,pred,lower_bound,1083.0
2023-06-20,Immunomax,trend_seasonality,pred,predicted_value,927.0
2023-06-20,Hepafix,stationarity,pred,predicted_value,0.0
2023-06-20,Hepafix,pred,pred,upper_bound,1185.0
2023-06-20,Hepafix,pred,pred,predicted_value,980.0
2023-06-20,Fungistop,pred,pred,upper_bound,374.0
2023-06-20,Hepafix,pred,pred,lower_bound,778.0
2023-06-20,Fungistop,trend_seasonality,pred,predicted_value,320.0
2023-06-20,Fungistop,stationarity,pred,predicted_value,0.0
2023-06-20,Neurofix,pred,pred,lower_bound,1695.0
2023-06-20,Virustop,pred,pred,predicted_value,1146.0
2023-06-20,Neurofix,pred,pred,upper_bound,2408.0
2023-06-20,Fungistop,pred,pred,predicted_value,320.0
2023-06-20,Virustop,trend_seasonality,pred,predicted_value,1146.0
2023-06-20,Virustop,stationarity,pred,predicted_value,0.0
2023-06-20,Virustop,pred,pred,upper_bound,1446.0
2023-06-20,Virustop,pred,pred,lower_bound,845.0
2023-06-20,Thyrocare,trend_seasonality,pred,predicted_value,1496.0
2023-06-20,Thyrocare,stationarity,pred,predicted_value,0.0
2023-06-20,Thyrocare,pred,pred,upper_bound,1774.0
2023-06-20,Thyrocare,pred,pred,predicted_value,1496.0
2023-06-20,Thyrocare,pred,pred,lower_bound,1220.0
2023-06-20,Osteogrow,trend_seasonality,pred,predicted_value,587.0
2023-06-20,Osteogrow,stationarity,pred,predicted_value,0.0
2023-06-20,Osteogrow,pred,pred,upper_bound,710.0
2023-06-20,Osteogrow,pred,pred,predicted_value,587.0
2023-06-20,Osteogrow,pred,pred,lower_bound,463.0
2023-06-20,Osteofix,trend_seasonality,pred,predicted_value,1310.0
2023-06-20,Osteofix,stationarity,pred,predicted_value,0.0
2023-06-20,Osteofix,pred,pred,upper_bound,1552.0
2023-06-20,Osteofix,pred,pred,predicted_value,1310.0
2023-06-20,Osteofix,pred,pred,lower_bound,1060.0
2023-06-20,Neurofix,trend_seasonality,pred,predicted_value,2060.0
2023-06-20,Neurofix,stationarity,pred,predicted_value,0.0
2023-06-20,Neurofix,pred,pred,predicted_value,2060.0
2023-06-20,Fungistop,pred,pred,lower_bound,264.0
2023-06-20,Diabetrol,pred,pred,lower_bound,1758.0
2023-06-20,Diabetrol,stationarity,pred,predicted_value,0.0
2023-06-20,Cardioplus,pred,pred,upper_bound,620.0
2023-06-20,Cardioplus,pred,pred,predicted_value,519.0
2023-06-20,Cardioplus,pred,pred,lower_bound,422.0
2023-06-20,Cancerend,trend_seasonality,pred,predicted_value,968.0
2023-06-20,Cancerend,stationarity,pred,predicted_value,0.0
2023-06-20,Cancerend,pred,pred,upper_bound,1139.0
2023-06-20,Cancerend,pred,pred,predicted_value,968.0
2023-06-20,Cancerend,pred,pred,lower_bound,783.0
2023-06-20,Bronchosafe,trend_seasonality,pred,predicted_value,1710.0
2023-06-20,Bronchosafe,stationarity,pred,predicted_value,0.0
