date,SKU,Channel,quantity,Supplier,Country,Region,Store
2021-02-02 00:00:00,Thyrocare,Online Store,0.0,Pfizer,South Korea,APAC,Store07
2021-02-09 00:00:00,Thyrocare,Online Store,586.0,Pfizer,Egypt,EMEA,Store03
2021-02-16 00:00:00,Thyrocare,Online Store,672.0,Pfizer,Australia,APAC,Store07
2021-02-23 00:00:00,Thyrocare,Online Store,118.0,Pfizer,USA,North America,Store03
2021-03-02 00:00:00,Thyrocare,Online Store,1209.0,Pfizer,Germany,EMEA,Store02
2021-03-09 00:00:00,Thyrocare,Online Store,0.0,Pfizer,Germany,EMEA,Store10
2021-03-16 00:00:00,Thyrocare,Online Store,1105.0,Pfizer,Canada,North America,Store12
2021-03-23 00:00:00,Thyrocare,Online Store,562.0,Pfizer,USA,North America,Store11
2021-03-30 00:00:00,Thyrocare,Online Store,106.0,Pfizer,Egypt,EMEA,Store05
2021-04-06 00:00:00,Thyrocare,Online Store,119.0,Pfizer,USA,North America,Store06
2021-04-13 00:00:00,Thyrocare,Online Store,611.0,Pfizer,Egypt,EMEA,Store11
2021-04-20 00:00:00,Thyrocare,Online Store,417.0,Pfizer,Egypt,EMEA,Store05
2021-04-27 00:00:00,Thyrocare,Online Store,438.0,Pfizer,Australia,APAC,Store04
2021-05-04 00:00:00,Thyrocare,Online Store,802.0,Pfizer,South Korea,APAC,Store02
2021-05-11 00:00:00,Thyrocare,Online Store,345.0,Pfizer,Australia,APAC,Store10
2021-05-18 00:00:00,Thyrocare,Online Store,583.0,Pfizer,Germany,EMEA,Store11
2021-05-25 00:00:00,Thyrocare,Online Store,796.0,Pfizer,USA,North America,Store04
2021-06-01 00:00:00,Thyrocare,Online Store,909.0,Pfizer,Canada,North America,Store02
2021-06-08 00:00:00,Thyrocare,Online Store,386.0,Pfizer,Australia,APAC,Store03
2021-06-15 00:00:00,Thyrocare,Online Store,644.0,Pfizer,Canada,North America,Store02
2021-06-22 00:00:00,Thyrocare,Online Store,813.0,Pfizer,Australia,APAC,Store02
2021-06-29 00:00:00,Thyrocare,Online Store,746.0,Pfizer,Canada,North America,Store10
2021-07-06 00:00:00,Thyrocare,Online Store,994.0,Pfizer,South Korea,APAC,Store01
2021-07-13 00:00:00,Thyrocare,Online Store,322.0,Pfizer,Egypt,EMEA,Store11
2021-07-20 00:00:00,Thyrocare,Online Store,0.0,Pfizer,Australia,APAC,Store10
2021-07-27 00:00:00,Thyrocare,Online Store,374.0,Pfizer,Germany,EMEA,Store04
2021-08-03 00:00:00,Thyrocare,Online Store,0.0,Pfizer,Egypt,EMEA,Store01
2021-08-10 00:00:00,Thyrocare,Online Store,635.0,Pfizer,USA,North America,Store01
2021-08-17 00:00:00,Thyrocare,Online Store,605.0,Pfizer,Canada,North America,Store02
2021-08-24 00:00:00,Thyrocare,Online Store,767.0,Pfizer,Egypt,EMEA,Store06
2021-08-31 00:00:00,Thyrocare,Online Store,474.0,Pfizer,Canada,North America,Store10
2021-09-07 00:00:00,Thyrocare,Online Store,822.0,Pfizer,USA,North America,Store01
2021-09-14 00:00:00,Thyrocare,Online Store,536.0,Pfizer,Egypt,EMEA,Store07
2021-09-21 00:00:00,Thyrocare,Online Store,307.0,Pfizer,Germany,EMEA,Store11
2021-09-28 00:00:00,Thyrocare,Online Store,782.0,Pfizer,USA,North America,Store03
2021-10-05 00:00:00,Thyrocare,Online Store,485.0,Pfizer,Canada,North America,Store10
2021-10-12 00:00:00,Thyrocare,Online Store,730.0,Pfizer,Canada,North America,Store03
2021-10-19 00:00:00,Thyrocare,Online Store,931.0,Pfizer,USA,North America,Store01
2021-10-26 00:00:00,Thyrocare,Online Store,277.0,Pfizer,Canada,North America,Store12
2021-11-02 00:00:00,Thyrocare,Online Store,517.0,Pfizer,Egypt,EMEA,Store04
2021-11-09 00:00:00,Thyrocare,Online Store,747.0,Pfizer,Canada,North America,Store06
2021-11-16 00:00:00,Thyrocare,Online Store,668.0,Pfizer,USA,North America,Store10
2021-11-23 00:00:00,Thyrocare,Online Store,0.0,Pfizer,Canada,North America,Store08
2021-11-30 00:00:00,Thyrocare,Online Store,546.0,Pfizer,South Korea,APAC,Store07
2021-12-07 00:00:00,Thyrocare,Online Store,388.0,Pfizer,Canada,North America,Store05
2021-12-14 00:00:00,Thyrocare,Online Store,840.0,Pfizer,Germany,EMEA,Store04
2021-12-21 00:00:00,Thyrocare,Online Store,159.0,Pfizer,Egypt,EMEA,Store02
2021-12-28 00:00:00,Thyrocare,Online Store,0.0,Pfizer,Australia,APAC,Store11
2022-01-04 00:00:00,Thyrocare,Online Store,562.0,Pfizer,Canada,North America,Store04
2022-01-11 00:00:00,Thyrocare,Online Store,742.0,Pfizer,USA,North America,Store07
2022-01-18 00:00:00,Thyrocare,Online Store,295.0,Pfizer,Canada,North America,Store09
2022-01-25 00:00:00,Thyrocare,Online Store,188.0,Pfizer,South Korea,APAC,Store09
2022-02-01 00:00:00,Thyrocare,Online Store,0.0,Pfizer,South Korea,APAC,Store07
2022-02-08 00:00:00,Thyrocare,Online Store,776.0,Pfizer,Germany,EMEA,Store03
2022-02-15 00:00:00,Thyrocare,Online Store,750.0,Pfizer,Canada,North America,Store12
2022-02-22 00:00:00,Thyrocare,Online Store,507.0,Pfizer,Canada,North America,Store06
2022-03-01 00:00:00,Thyrocare,Online Store,0.0,Pfizer,Canada,North America,Store03
2022-03-08 00:00:00,Thyrocare,Online Store,565.0,Pfizer,Australia,APAC,Store12
2022-03-15 00:00:00,Thyrocare,Online Store,296.0,Pfizer,Canada,North America,Store11
2022-03-22 00:00:00,Thyrocare,Online Store,0.0,Pfizer,Egypt,EMEA,Store04
2022-03-29 00:00:00,Thyrocare,Online Store,224.0,Pfizer,Germany,EMEA,Store11
2022-04-05 00:00:00,Thyrocare,Online Store,0.0,Pfizer,USA,North America,Store09
2022-04-12 00:00:00,Thyrocare,Online Store,407.0,Pfizer,South Korea,APAC,Store04
2022-04-19 00:00:00,Thyrocare,Online Store,671.0,Pfizer,South Korea,APAC,Store11
2022-04-26 00:00:00,Thyrocare,Online Store,416.0,Pfizer,Germany,EMEA,Store10
2022-05-03 00:00:00,Thyrocare,Online Store,611.0,Pfizer,USA,North America,Store12
2022-05-10 00:00:00,Thyrocare,Online Store,562.0,Pfizer,Germany,EMEA,Store07
2022-05-17 00:00:00,Thyrocare,Online Store,1428.0,Pfizer,Canada,North America,Store07
2022-05-24 00:00:00,Thyrocare,Online Store,1374.0,Pfizer,Germany,EMEA,Store01
2022-05-31 00:00:00,Thyrocare,Online Store,0.0,Pfizer,South Korea,APAC,Store09
2022-06-07 00:00:00,Thyrocare,Online Store,0.0,Pfizer,South Korea,APAC,Store06
2022-06-14 00:00:00,Thyrocare,Online Store,541.0,Pfizer,South Korea,APAC,Store12
2022-06-21 00:00:00,Thyrocare,Online Store,886.0,Pfizer,Egypt,EMEA,Store11
2022-06-28 00:00:00,Thyrocare,Online Store,372.0,Pfizer,USA,North America,Store03
2022-07-05 00:00:00,Thyrocare,Online Store,354.0,Pfizer,Australia,APAC,Store06
2022-07-12 00:00:00,Thyrocare,Online Store,436.0,Pfizer,USA,North America,Store03
2022-07-19 00:00:00,Thyrocare,Online Store,572.0,Pfizer,Australia,APAC,Store08
2022-07-26 00:00:00,Thyrocare,Online Store,451.0,Pfizer,South Korea,APAC,Store06
2022-08-02 00:00:00,Thyrocare,Online Store,464.0,Pfizer,Germany,EMEA,Store04
2022-08-09 00:00:00,Thyrocare,Online Store,508.0,Pfizer,Egypt,EMEA,Store10
2022-08-16 00:00:00,Thyrocare,Online Store,547.0,Pfizer,Canada,North America,Store07
2022-08-23 00:00:00,Thyrocare,Online Store,586.0,Pfizer,Egypt,EMEA,Store02
2022-08-30 00:00:00,Thyrocare,Online Store,620.0,Pfizer,USA,North America,Store02
2022-09-06 00:00:00,Thyrocare,Online Store,616.0,Pfizer,Canada,North America,Store10
2022-09-13 00:00:00,Thyrocare,Online Store,606.0,Pfizer,Germany,EMEA,Store11
2022-09-20 00:00:00,Thyrocare,Online Store,276.0,Pfizer,South Korea,APAC,Store05
2022-09-27 00:00:00,Thyrocare,Online Store,698.0,Pfizer,Germany,EMEA,Store12
2022-10-04 00:00:00,Thyrocare,Online Store,136.0,Pfizer,Germany,EMEA,Store10
2022-10-11 00:00:00,Thyrocare,Online Store,672.0,Pfizer,Australia,APAC,Store01
2022-10-18 00:00:00,Thyrocare,Online Store,501.0,Pfizer,Canada,North America,Store04
2022-10-25 00:00:00,Thyrocare,Online Store,0.0,Pfizer,USA,North America,Store05
2022-11-01 00:00:00,Thyrocare,Online Store,170.0,Pfizer,Canada,North America,Store02
2022-11-08 00:00:00,Thyrocare,Online Store,84.0,Pfizer,Canada,North America,Store06
2022-11-15 00:00:00,Thyrocare,Online Store,86.0,Pfizer,South Korea,APAC,Store03
2022-11-22 00:00:00,Thyrocare,Online Store,889.0,Pfizer,South Korea,APAC,Store12
2022-11-29 00:00:00,Thyrocare,Online Store,0.0,Pfizer,USA,North America,Store01
2022-12-06 00:00:00,Thyrocare,Online Store,277.0,Pfizer,Germany,EMEA,Store05
2022-12-13 00:00:00,Thyrocare,Online Store,1209.0,Pfizer,Germany,EMEA,Store09
2022-12-20 00:00:00,Thyrocare,Online Store,1459.0,Pfizer,Egypt,EMEA,Store06
2022-12-27 00:00:00,Thyrocare,Online Store,449.0,Pfizer,USA,North America,Store05
2023-01-03 00:00:00,Thyrocare,Online Store,1268.0,Pfizer,Egypt,EMEA,Store02
2023-01-10 00:00:00,Thyrocare,Online Store,674.0,Pfizer,USA,North America,Store08
2023-01-17 00:00:00,Thyrocare,Online Store,0.0,Pfizer,South Korea,APAC,Store12
2023-01-24 00:00:00,Thyrocare,Online Store,528.0,Pfizer,Canada,North America,Store04
2023-01-31 00:00:00,Thyrocare,Online Store,252.0,Pfizer,South Korea,APAC,Store03
2023-02-07 00:00:00,Thyrocare,Online Store,854.0,Pfizer,Canada,North America,Store11
2023-02-14 00:00:00,Thyrocare,Online Store,260.0,Pfizer,Australia,APAC,Store07
2023-02-21 00:00:00,Thyrocare,Online Store,468.0,Pfizer,USA,North America,Store11
2023-02-28 00:00:00,Thyrocare,Online Store,402.0,Pfizer,Egypt,EMEA,Store06
2023-03-07 00:00:00,Thyrocare,Online Store,670.0,Pfizer,South Korea,APAC,Store06
2023-03-14 00:00:00,Thyrocare,Online Store,656.0,Pfizer,Germany,EMEA,Store10
2023-03-21 00:00:00,Thyrocare,Online Store,239.0,Pfizer,Germany,EMEA,Store08
2023-03-28 00:00:00,Thyrocare,Online Store,0.0,Pfizer,Australia,APAC,Store06
2023-04-04 00:00:00,Thyrocare,Online Store,724.0,Pfizer,South Korea,APAC,Store04
2023-04-11 00:00:00,Thyrocare,Online Store,85.0,Pfizer,Canada,North America,Store11
2023-04-18 00:00:00,Thyrocare,Online Store,234.0,Pfizer,Germany,EMEA,Store07
2023-04-25 00:00:00,Thyrocare,Online Store,196.0,Pfizer,USA,North America,Store08
2023-05-02 00:00:00,Thyrocare,Online Store,1685.0,Pfizer,South Korea,APAC,Store10
2023-05-09 00:00:00,Thyrocare,Online Store,107.0,Pfizer,Germany,EMEA,Store03
2023-05-16 00:00:00,Thyrocare,Online Store,559.0,Pfizer,USA,North America,Store04
2023-05-23 00:00:00,Thyrocare,Online Store,346.0,Pfizer,South Korea,APAC,Store09
2023-05-30 00:00:00,Thyrocare,Online Store,217.0,Pfizer,Australia,APAC,Store07
2023-06-06 00:00:00,Thyrocare,Online Store,566.0,Pfizer,South Korea,APAC,Store02
2023-06-13 00:00:00,Thyrocare,Online Store,466.0,Pfizer,Germany,EMEA,Store11
2023-06-20 00:00:00,Thyrocare,Online Store,382.0,Pfizer,Canada,North America,Store04
2023-06-27 00:00:00,Thyrocare,Online Store,1540.0,Pfizer,South Korea,APAC,Store05
2023-07-04 00:00:00,Thyrocare,Online Store,885.0,Pfizer,Australia,APAC,Store11
2023-07-11 00:00:00,Thyrocare,Online Store,470.0,Pfizer,USA,North America,Store02
2023-07-18 00:00:00,Thyrocare,Online Store,899.0,Pfizer,Germany,EMEA,Store03
2023-07-25 00:00:00,Thyrocare,Online Store,432.0,Pfizer,Canada,North America,Store08
2023-08-01 00:00:00,Thyrocare,Online Store,870.0,Pfizer,South Korea,APAC,Store04
2023-08-08 00:00:00,Thyrocare,Online Store,1592.0,Pfizer,USA,North America,Store10
2023-08-15 00:00:00,Thyrocare,Online Store,589.0,Pfizer,Australia,APAC,Store07
2023-08-22 00:00:00,Thyrocare,Online Store,575.0,Pfizer,USA,North America,Store04
2023-08-29 00:00:00,Thyrocare,Online Store,593.0,Pfizer,Australia,APAC,Store11
2023-09-05 00:00:00,Thyrocare,Online Store,166.0,Pfizer,Egypt,EMEA,Store05
2023-09-12 00:00:00,Thyrocare,Online Store,975.0,Pfizer,Australia,APAC,Store10
2023-09-19 00:00:00,Thyrocare,Online Store,753.0,Pfizer,South Korea,APAC,Store05
2023-09-26 00:00:00,Thyrocare,Online Store,639.0,Pfizer,Canada,North America,Store08
2023-10-03 00:00:00,Thyrocare,Online Store,501.0,Pfizer,USA,North America,Store10
2023-10-10 00:00:00,Thyrocare,Online Store,524.0,Pfizer,Egypt,EMEA,Store10
2023-10-17 00:00:00,Thyrocare,Online Store,1131.0,Pfizer,Egypt,EMEA,Store01
2023-10-24 00:00:00,Thyrocare,Online Store,672.0,Pfizer,South Korea,APAC,Store02
2021-02-02 00:00:00,Diabetrol,Online Store,985.0,Merck,Germany,EMEA,Store11
2021-02-09 00:00:00,Diabetrol,Online Store,313.0,Merck,South Korea,APAC,Store04
2021-02-16 00:00:00,Diabetrol,Online Store,1435.0,Merck,South Korea,APAC,Store06
2021-02-23 00:00:00,Diabetrol,Online Store,963.0,Merck,Australia,APAC,Store03
2021-03-02 00:00:00,Diabetrol,Online Store,766.0,Merck,USA,North America,Store02
2021-03-09 00:00:00,Diabetrol,Online Store,474.0,Merck,Canada,North America,Store06
2021-03-16 00:00:00,Diabetrol,Online Store,474.0,Merck,Egypt,EMEA,Store04
2021-03-23 00:00:00,Diabetrol,Online Store,104.0,Merck,South Korea,APAC,Store09
2021-03-30 00:00:00,Diabetrol,Online Store,990.0,Merck,Australia,APAC,Store02
2021-04-06 00:00:00,Diabetrol,Online Store,606.0,Merck,Canada,North America,Store08
2021-04-13 00:00:00,Diabetrol,Online Store,864.0,Merck,South Korea,APAC,Store01
2021-04-20 00:00:00,Diabetrol,Online Store,0.0,Merck,Egypt,EMEA,Store08
2021-04-27 00:00:00,Diabetrol,Online Store,346.0,Merck,Canada,North America,Store12
2021-05-04 00:00:00,Diabetrol,Online Store,858.0,Merck,Canada,North America,Store07
2021-05-11 00:00:00,Diabetrol,Online Store,512.0,Merck,Canada,North America,Store11
2021-05-18 00:00:00,Diabetrol,Online Store,238.0,Merck,USA,North America,Store04
2021-05-25 00:00:00,Diabetrol,Online Store,874.0,Merck,Germany,EMEA,Store10
2021-06-01 00:00:00,Diabetrol,Online Store,346.0,Merck,Australia,APAC,Store09
2021-06-08 00:00:00,Diabetrol,Online Store,936.0,Merck,Australia,APAC,Store07
2021-06-15 00:00:00,Diabetrol,Online Store,129.0,Merck,Germany,EMEA,Store03
2021-06-22 00:00:00,Diabetrol,Online Store,0.0,Merck,USA,North America,Store07
2021-06-29 00:00:00,Diabetrol,Online Store,443.0,Merck,Australia,APAC,Store12
2021-07-06 00:00:00,Diabetrol,Online Store,604.0,Merck,Australia,APAC,Store06
2021-07-13 00:00:00,Diabetrol,Online Store,518.0,Merck,Egypt,EMEA,Store08
2021-07-20 00:00:00,Diabetrol,Online Store,672.0,Merck,Canada,North America,Store03
2021-07-27 00:00:00,Diabetrol,Online Store,,Merck,USA,North America,Store11
2021-08-03 00:00:00,Diabetrol,Online Store,763.0,Merck,USA,North America,Store06
2021-08-10 00:00:00,Diabetrol,Online Store,502.0,Merck,Germany,EMEA,Store03
2021-08-17 00:00:00,Diabetrol,Online Store,1198.0,Merck,South Korea,APAC,Store04
2021-08-24 00:00:00,Diabetrol,Online Store,562.0,Merck,Germany,EMEA,Store08
2021-08-31 00:00:00,Diabetrol,Online Store,645.0,Merck,Germany,EMEA,Store11
2021-09-07 00:00:00,Diabetrol,Online Store,124.0,Merck,Germany,EMEA,Store11
2021-09-14 00:00:00,Diabetrol,Online Store,1425.0,Merck,South Korea,APAC,Store04
2021-09-21 00:00:00,Diabetrol,Online Store,151.0,Merck,Egypt,EMEA,Store06
2021-09-28 00:00:00,Diabetrol,Online Store,641.0,Merck,USA,North America,Store02
2021-10-05 00:00:00,Diabetrol,Online Store,1646.0,Merck,USA,North America,Store06
2021-10-12 00:00:00,Diabetrol,Online Store,622.0,Merck,USA,North America,Store04
2021-10-19 00:00:00,Diabetrol,Online Store,844.0,Merck,USA,North America,Store06
2021-10-26 00:00:00,Diabetrol,Online Store,242.0,Merck,Australia,APAC,Store02
2021-11-02 00:00:00,Diabetrol,Online Store,310.0,Merck,South Korea,APAC,Store01
2021-11-09 00:00:00,Diabetrol,Online Store,762.0,Merck,Canada,North America,Store05
2021-11-16 00:00:00,Diabetrol,Online Store,968.0,Merck,Australia,APAC,Store10
2021-11-23 00:00:00,Diabetrol,Online Store,2092.0,Merck,Germany,EMEA,Store09
2021-11-30 00:00:00,Diabetrol,Online Store,701.0,Merck,Australia,APAC,Store04
2021-12-07 00:00:00,Diabetrol,Online Store,1439.0,Merck,Germany,EMEA,Store02
