Title,Description,Units sold,Price (USD),Channel,Supplier
Paingelix,Effective pain relief solution with advanced technology,180,299.99,Online Store,Pfizer
Paingelix,Effective pain relief solution with advanced technology,150,299.99,Chain Store,Merck
Paingelix,Effective pain relief solution with advanced technology,120,299.99,Retail Store,Bayer
Paingelix,Effective pain relief solution with advanced technology,100,399.99,Online Store,Merck
Paingelix,Effective pain relief solution with advanced technology,80,499.99,Chain Store,Bayer
Paingelix,Effective pain relief solution with advanced technology,60,599.99,Retail Store,Pfizer
AntifungalY,Powerful antifungal fashion accessory for skin care,90,49.99,Retail Store,Bayer
AntifungalY,Powerful antifungal fashion accessory for skin care,100,49.99,Online Store,Pfizer
AntifungalY,Powerful antifungal fashion accessory for skin care,80,69.99,Chain Store,Pfizer
AntifungalY,Powerful antifungal fashion accessory for skin care,60,79.99,Online Store,Merck
AntifungalY,Powerful antifungal fashion accessory for skin care,40,89.99,Chain Store,Merck
Bronchosafe,Premium home appliance designed for respiratory wellness,120,499.99,Online Store,Pfizer
Bronchosafe,Premium home appliance designed for respiratory wellness,100,499.99,Retail Store,Merck
Bronchosafe,Premium home appliance designed for respiratory wellness,80,499.99,Chain Store,Bayer
Bronchosafe,Premium home appliance designed for respiratory wellness,90,599.99,Online Store,Bayer
Bronchosafe,Premium home appliance designed for respiratory wellness,70,699.99,Online Store,Merck
Bronchosafe,Premium home appliance designed for respiratory wellness,50,799.99,Chain Store,Merck
Cancerend,Innovative cancer management device for personalized care,60,129.99,Chain Store,Bayer
Cancerend,Innovative cancer management device for personalized care,70,129.99,Retail Store,Pfizer
Cancerend,Innovative cancer management device for personalized care,50,149.99,Online Store,Pfizer
Cancerend,Innovative cancer management device for personalized care,30,159.99,Chain Store,Merck
Cancerend,Innovative cancer management device for personalized care,20,169.99,Online Store,Merck
Cardioplus,Advanced cardiac health monitoring with sleek design,220,19.99,Online Store,Pfizer
Cardioplus,Advanced cardiac health monitoring with sleek design,200,19.99,Retail Store,Merck
