Title_left,Description_left,Units sold_left,Price (USD)_left,Channel_left,Supplier_left,ID_right,Name_right,Units sold_right,Price (EUR)_right,Channel_right,Supplier_right,Matched,Indicator,Match Score
Paingelix,Effective pain relief solution with advanced technology,180.0,299.99,Online Store,Pfizer,12345.0,Advanced Pain Management Solution with State-of-the-Art Technology,180.0,299.99,Online Store,Pfizer,True,Match,0.5400000214576721
Paingelix,Effective pain relief solution with advanced technology,150.0,299.99,Chain Store,Merck,12345.0,Advanced Pain Management Solution with State-of-the-Art Technology,150.0,299.99,Chain Store,Merck,True,Match,0.5400000214576721
Paingelix,Effective pain relief solution with advanced technology,120.0,299.99,Retail Store,Bayer,12345.0,Advanced Pain Management Solution with State-of-the-Art Technology,120.0,299.99,Retail Store,Bayer,True,Match,0.5299999713897705
Paingelix,Effective pain relief solution with advanced technology,100.0,399.99,Online Store,Merck,12345.0,Advanced Pain Management Solution with State-of-the-Art Technology,100.0,399.99,Online Store,Merck,True,Match,0.5299999713897705
Paingelix,Effective pain relief solution with advanced technology,80.0,499.99,Chain Store,Bayer,12345.0,Advanced Pain Management Solution with State-of-the-Art Technology,80.0,499.99,Chain Store,Bayer,True,Match,0.5299999713897705
Paingelix,Effective pain relief solution with advanced technology,60.0,599.99,Retail Store,Pfizer,12345.0,Advanced Pain Management Solution with State-of-the-Art Technology,60.0,599.99,Retail Store,Pfizer,True,Match,0.5299999713897705
AntifungalY,Powerful antifungal fashion accessory for skin care,90.0,49.99,Retail Store,Bayer,56789.0,Stylish Antifungal Fashion Accessory for Enhanced Skin Care,90.0,49.99,Retail Store,Bayer,True,Match,0.6899999976158142
AntifungalY,Powerful antifungal fashion accessory for skin care,100.0,49.99,Online Store,Pfizer,56789.0,Stylish Antifungal Fashion Accessory for Enhanced Skin Care,100.0,49.99,Online Store,Pfizer,True,Match,0.6899999976158142
AntifungalY,Powerful antifungal fashion accessory for skin care,80.0,69.99,Chain Store,Pfizer,56789.0,Stylish Antifungal Fashion Accessory for Enhanced Skin Care,80.0,69.99,Chain Store,Pfizer,True,Match,0.6899999976158142
AntifungalY,Powerful antifungal fashion accessory for skin care,60.0,79.99,Online Store,Merck,56789.0,Stylish Antifungal Fashion Accessory for Enhanced Skin Care,60.0,79.99,Online Store,Merck,True,Match,0.6899999976158142
AntifungalY,Powerful antifungal fashion accessory for skin care,40.0,89.99,Chain Store,Merck,56789.0,Stylish Antifungal Fashion Accessory for Enhanced Skin Care,40.0,89.99,Chain Store,Merck,True,Match,0.6899999976158142
Bronchosafe,Premium home appliance designed for respiratory wellness,120.0,499.99,Online Store,Pfizer,23456.0,Cutting-Edge Home Appliance Engineered for Optimal Respiratory Well-being,120.0,499.99,Online Store,Pfizer,True,Match,0.4600000083446502
Bronchosafe,Premium home appliance designed for respiratory wellness,100.0,499.99,Retail Store,Merck,23456.0,Cutting-Edge Home Appliance Engineered for Optimal Respiratory Well-being,100.0,499.99,Retail Store,Merck,True,Match,0.4600000083446502
Bronchosafe,Premium home appliance designed for respiratory wellness,80.0,499.99,Chain Store,Bayer,,,,,,,False,Left,0.0
Bronchosafe,Premium home appliance designed for respiratory wellness,90.0,599.99,Online Store,Bayer,23456.0,Cutting-Edge Home Appliance Engineered for Optimal Respiratory Well-being,90.0,599.99,Online Store,Bayer,True,Match,0.4600000083446502
Bronchosafe,Premium home appliance designed for respiratory wellness,70.0,699.99,Online Store,Merck,23456.0,Cutting-Edge Home Appliance Engineered for Optimal Respiratory Well-being,70.0,699.99,Online Store,Merck,True,Match,0.4600000083446502
Bronchosafe,Premium home appliance designed for respiratory wellness,50.0,799.99,Chain Store,Merck,,,,,,,False,Left,0.0
Cancerend,Innovative cancer management device for personalized care,60.0,129.99,Chain Store,Bayer,87654.0,Personalized Cancer Management Device for Innovative Treatment,60.0,129.99,Chain Store,Bayer,True,Match,0.7799999713897705
Cancerend,Innovative cancer management device for personalized care,70.0,129.99,Retail Store,Pfizer,87654.0,Personalized Cancer Management Device for Innovative Treatment,70.0,129.99,Retail Store,Pfizer,True,Match,0.7900000214576721
Cancerend,Innovative cancer management device for personalized care,50.0,149.99,Online Store,Pfizer,87654.0,Personalized Cancer Management Device for Innovative Treatment,50.0,149.99,Online Store,Pfizer,True,Match,0.7900000214576721
Cancerend,Innovative cancer management device for personalized care,30.0,159.99,Chain Store,Merck,87654.0,Personalized Cancer Management Device for Innovative Treatment,30.0,159.99,Chain Store,Merck,True,Match,0.7900000214576721
Cancerend,Innovative cancer management device for personalized care,20.0,169.99,Online Store,Merck,87654.0,Personalized Cancer Management Device for Innovative Treatment,20.0,169.99,Online Store,Merck,True,Match,0.7900000214576721
Cardioplus,Advanced cardiac health monitoring with sleek design,220.0,19.99,Online Store,Pfizer,78901.0,Sleek Design for Advanced Cardiac Health Monitoring,220.0,19.99,Online Store,Pfizer,True,Match,0.75
Cardioplus,Advanced cardiac health monitoring with sleek design,200.0,19.99,Retail Store,Merck,78901.0,Sleek Design for Advanced Cardiac Health Monitoring,200.0,19.99,Retail Store,Merck,True,Match,0.75
Cardioplus,Advanced cardiac health monitoring with sleek design,180.0,24.99,Chain Store,Bayer,78901.0,Sleek Design for Advanced Cardiac Health Monitoring,180.0,24.99,Chain Store,Bayer,True,Match,0.75
Cardioplus,Advanced cardiac health monitoring with sleek design,160.0,29.99,Online Store,Bayer,78901.0,Sleek Design for Advanced Cardiac Health Monitoring,160.0,29.99,Online Store,Bayer,True,Match,0.7400000095367432
Cardioplus,Advanced cardiac health monitoring with sleek design,140.0,34.99,Retail Store,Pfizer,78901.0,Sleek Design for Advanced Cardiac Health Monitoring,140.0,34.99,Retail Store,Pfizer,True,Match,0.75
Cardioplus,Advanced cardiac health monitoring with sleek design,120.0,39.99,Chain Store,Pfizer,78901.0,Sleek Design for Advanced Cardiac Health Monitoring,120.0,39.99,Chain Store,Pfizer,True,Match,0.7400000095367432
Cardiox,Smart Health Monitor,130.0,149.99,Online Store,Pfizer,98765.0,Next-Level Health Monitoring with the Smart Health Monitor,130.0,149.99,Online Store,Pfizer,True,Match,0.6100000143051147
Cardiox,Smart Health Monitor,120.0,149.99,Chain Store,Merck,98765.0,Next-Level Health Monitoring with the Smart Health Monitor,120.0,149.99,Chain Store,Merck,True,Match,0.6000000238418579
