Date,decomposition,real/pred,prediction_type,Demand,SKU,Channel,Supplier
2023-06-13 00:00:00,pred,pred,upper_bound,367.0,Immunomax,Online Store,Pfizer
2023-06-13 00:00:00,pred,pred,predicted_value,334.0,Immunomax,Online Store,Pfizer
2023-06-13 00:00:00,pred,pred,lower_bound,299.0,Immunomax,Online Store,Pfizer
2023-06-13 00:00:00,pred,pred,upper_bound,323.0,Immunomax,Chain Store,Pfizer
2023-06-13 00:00:00,pred,pred,predicted_value,297.0,Immunomax,Chain Store,Pfizer
2023-06-13 00:00:00,pred,pred,lower_bound,269.0,Immunomax,Chain Store,Pfizer
2023-06-13 00:00:00,pred,pred,upper_bound,513.0,Immunoboost,Retail Store,Pfizer
2023-06-13 00:00:00,pred,pred,predicted_value,468.0,Immunoboost,Retail Store,Pfizer
2023-06-13 00:00:00,pred,pred,lower_bound,431.0,Immunomax,Retail Store,Pfizer
2023-06-13 00:00:00,pred,pred,predicted_value,477.0,Immunomax,Retail Store,Pfizer
2023-06-13 00:00:00,pred,pred,upper_bound,961.0,Neurofix,Retail Store,Pfizer
2023-06-13 00:00:00,pred,pred,predicted_value,891.0,Neurofix,Retail Store,Pfizer
2023-06-13 00:00:00,pred,pred,lower_bound,811.0,Neurofix,Retail Store,Pfizer
2023-06-13 00:00:00,pred,pred,lower_bound,422.0,Immunoboost,Retail Store,Pfizer
2023-06-13 00:00:00,pred,pred,upper_bound,491.0,Neurofix,Online Store,Pfizer
2023-06-13 00:00:00,pred,pred,predicted_value,452.0,Neurofix,Online Store,Pfizer
2023-06-13 00:00:00,pred,pred,lower_bound,411.0,Neurofix,Online Store,Pfizer
2023-06-13 00:00:00,pred,pred,upper_bound,257.0,Neurofix,Chain Store,Pfizer
2023-06-13 00:00:00,pred,pred,predicted_value,235.0,Neurofix,Chain Store,Pfizer
2023-06-13 00:00:00,pred,pred,lower_bound,214.0,Neurofix,Chain Store,Pfizer
2023-06-13 00:00:00,pred,pred,upper_bound,528.0,Immunomax,Retail Store,Pfizer
2023-06-13 00:00:00,pred,pred,upper_bound,480.0,Hepaheal,Retail Store,Pfizer
2023-06-13 00:00:00,pred,pred,upper_bound,510.0,Hepaheal,Chain Store,Pfizer
2023-06-13 00:00:00,pred,pred,predicted_value,467.0,Hepaheal,Chain Store,Pfizer
2023-06-13 00:00:00,pred,pred,lower_bound,420.0,Hepaheal,Chain Store,Pfizer
2023-06-13 00:00:00,pred,pred,upper_bound,525.0,Hepafix,Chain Store,Merck
2023-06-13 00:00:00,pred,pred,predicted_value,427.0,Hepafix,Retail Store,Merck
2023-06-13 00:00:00,pred,pred,lower_bound,386.0,Hepafix,Retail Store,Merck
2023-06-13 00:00:00,pred,pred,upper_bound,345.0,Hepafix,Online Store,Merck
2023-06-13 00:00:00,pred,pred,predicted_value,311.0,Hepafix,Online Store,Merck
2023-06-13 00:00:00,pred,pred,lower_bound,280.0,Hepafix,Online Store,Merck
2023-06-13 00:00:00,pred,pred,lower_bound,273.0,Hepaheal,Online Store,Pfizer
2023-06-13 00:00:00,pred,pred,upper_bound,371.0,Immunoboost,Online Store,Pfizer
2023-06-13 00:00:00,pred,pred,predicted_value,334.0,Immunoboost,Online Store,Pfizer
2023-06-13 00:00:00,pred,pred,lower_bound,300.0,Immunoboost,Online Store,Pfizer
2023-06-13 00:00:00,pred,pred,upper_bound,326.0,Immunoboost,Chain Store,Pfizer
2023-06-13 00:00:00,pred,pred,predicted_value,297.0,Immunoboost,Chain Store,Pfizer
2023-06-13 00:00:00,pred,pred,lower_bound,270.0,Immunoboost,Chain Store,Pfizer
2023-06-13 00:00:00,pred,pred,predicted_value,436.0,Hepaheal,Retail Store,Pfizer
2023-06-13 00:00:00,pred,pred,lower_bound,391.0,Hepaheal,Retail Store,Pfizer
2023-06-13 00:00:00,pred,pred,upper_bound,333.0,Hepaheal,Online Store,Pfizer
2023-06-13 00:00:00,pred,pred,predicted_value,304.0,Hepaheal,Online Store,Pfizer
2023-06-13 00:00:00,pred,pred,lower_bound,391.0,Osteofix,Chain Store,Pfizer
2023-06-13 00:00:00,pred,pred,upper_bound,319.0,Virustop,Chain Store,Merck
2023-06-13 00:00:00,pred,pred,upper_bound,476.0,Osteofix,Chain Store,Pfizer
2023-06-13 00:00:00,pred,pred,lower_bound,795.0,Thyrocare,Retail Store,Pfizer
2023-06-13 00:00:00,pred,pred,upper_bound,501.0,Thyrocare,Online Store,Pfizer
2023-06-13 00:00:00,pred,pred,predicted_value,461.0,Thyrocare,Online Store,Pfizer
2023-06-13 00:00:00,pred,pred,lower_bound,419.0,Thyrocare,Online Store,Pfizer
2023-06-13 00:00:00,pred,pred,predicted_value,874.0,Thyrocare,Retail Store,Pfizer
2023-06-13 00:00:00,pred,pred,upper_bound,256.0,Thyrocare,Chain Store,Pfizer
2023-06-13 00:00:00,pred,pred,predicted_value,235.0,Thyrocare,Chain Store,Pfizer
2023-06-13 00:00:00,pred,pred,lower_bound,214.0,Thyrocare,Chain Store,Pfizer
2023-06-13 00:00:00,pred,pred,upper_bound,259.0,Paingelix,Retail Store,Bayer
2023-06-13 00:00:00,pred,pred,predicted_value,235.0,Paingelix,Retail Store,Bayer
2023-06-13 00:00:00,pred,pred,upper_bound,948.0,Thyrocare,Retail Store,Pfizer
2023-06-13 00:00:00,pred,pred,upper_bound,526.0,Virustop,Retail Store,Merck
2023-06-13 00:00:00,pred,pred,predicted_value,477.0,Virustop,Retail Store,Merck
2023-06-13 00:00:00,pred,pred,lower_bound,431.0,Virustop,Retail Store,Merck
2023-06-13 00:00:00,pred,pred,upper_bound,365.0,Virustop,Online Store,Merck
2023-06-13 00:00:00,pred,pred,predicted_value,334.0,Virustop,Online Store,Merck
2023-06-13 00:00:00,pred,pred,lower_bound,299.0,Virustop,Online Store,Merck
2023-06-13 00:00:00,pred,pred,predicted_value,476.0,Hepafix,Chain Store,Merck
2023-06-13 00:00:00,pred,pred,predicted_value,291.0,Virustop,Chain Store,Merck
2023-06-13 00:00:00,pred,pred,lower_bound,265.0,Virustop,Chain Store,Merck
2023-06-13 00:00:00,pred,pred,lower_bound,212.0,Paingelix,Retail Store,Bayer
2023-06-13 00:00:00,pred,pred,upper_bound,467.0,Osteogrow,Chain Store,Pfizer
2023-06-13 00:00:00,pred,pred,predicted_value,426.0,Osteogrow,Chain Store,Pfizer
2023-06-13 00:00:00,pred,pred,lower_bound,384.0,Osteogrow,Chain Store,Pfizer
2023-06-13 00:00:00,pred,pred,upper_bound,371.0,Osteofix,Retail Store,Pfizer
2023-06-13 00:00:00,pred,pred,predicted_value,342.0,Osteofix,Retail Store,Pfizer
2023-06-13 00:00:00,pred,pred,lower_bound,309.0,Osteofix,Retail Store,Pfizer
2023-06-13 00:00:00,pred,pred,upper_bound,280.0,Osteofix,Online Store,Pfizer
2023-06-13 00:00:00,pred,pred,predicted_value,256.0,Osteofix,Online Store,Pfizer
2023-06-13 00:00:00,pred,pred,lower_bound,231.0,Osteofix,Online Store,Pfizer
2023-06-13 00:00:00,pred,pred,predicted_value,435.0,Osteofix,Chain Store,Pfizer
2023-06-13 00:00:00,pred,pred,predicted_value,251.0,Osteogrow,Online Store,Pfizer
2023-06-13 00:00:00,pred,pred,upper_bound,308.0,Paingelix,Online Store,Bayer
2023-06-13 00:00:00,pred,pred,predicted_value,283.0,Paingelix,Online Store,Bayer
2023-06-13 00:00:00,pred,pred,lower_bound,256.0,Paingelix,Online Store,Bayer
2023-06-13 00:00:00,pred,pred,upper_bound,153.0,Paingelix,Chain Store,Bayer
2023-06-13 00:00:00,pred,pred,predicted_value,141.0,Paingelix,Chain Store,Bayer
2023-06-13 00:00:00,pred,pred,lower_bound,130.0,Paingelix,Chain Store,Bayer
2023-06-13 00:00:00,pred,pred,upper_bound,366.0,Osteogrow,Retail Store,Pfizer
2023-06-13 00:00:00,pred,pred,predicted_value,335.0,Osteogrow,Retail Store,Pfizer
2023-06-13 00:00:00,pred,pred,lower_bound,302.0,Osteogrow,Retail Store,Pfizer
2023-06-13 00:00:00,pred,pred,upper_bound,276.0,Osteogrow,Online Store,Pfizer
2023-06-13 00:00:00,pred,pred,lower_bound,228.0,Osteogrow,Online Store,Pfizer
2023-06-13 00:00:00,pred,pred,lower_bound,428.0,Hepafix,Chain Store,Merck
2023-06-13 00:00:00,pred,pred,upper_bound,471.0,Hepafix,Retail Store,Merck
2023-06-13 00:00:00,pred,pred,upper_bound,302.0,Cardioplus,Online Store,Bayer
2023-06-13 00:00:00,pred,pred,predicted_value,278.0,Cardioplus,Online Store,Bayer
2023-06-13 00:00:00,pred,pred,lower_bound,253.0,Cardioplus,Online Store,Bayer
