sku,quantity,unit_price,inventory,date
Paingelix,14.0,92.0,612.0,2020-01-01 00:00:00
Paingelix,22.0,92.0,590.0,2020-01-02 00:00:00
Paingelix,20.0,92.0,570.0,2020-01-03 00:00:00
Paingelix,21.0,92.0,549.0,2020-01-04 00:00:00
Paingelix,12.0,92.0,537.0,2020-01-05 00:00:00
Paingelix,26.0,92.0,511.0,2020-01-06 00:00:00
Paingelix,26.0,92.0,485.0,2020-01-07 00:00:00
Paingelix,18.0,92.0,467.0,2020-01-08 00:00:00
Paingelix,13.0,92.0,454.0,2020-01-09 00:00:00
Paingelix,22.0,92.0,432.0,2020-01-10 00:00:00
Paingelix,15.0,92.0,417.0,2020-01-11 00:00:00
Paingelix,25.0,92.0,392.0,2020-01-12 00:00:00
Paingelix,28.0,92.0,364.0,2020-01-13 00:00:00
Paingelix,11.0,92.0,353.0,2020-01-14 00:00:00
Paingelix,23.0,92.0,330.0,2020-01-15 00:00:00
Paingelix,18.0,92.0,312.0,2020-01-16 00:00:00
Paingelix,18.0,92.0,294.0,2020-01-17 00:00:00
Paingelix,13.0,92.0,281.0,2020-01-18 00:00:00
Paingelix,12.0,92.0,269.0,2020-01-19 00:00:00
Paingelix,19.0,92.0,250.0,2020-01-20 00:00:00
Paingelix,20.0,92.0,230.0,2020-01-21 00:00:00
Paingelix,20.0,92.0,210.0,2020-01-22 00:00:00
Paingelix,11.0,92.0,199.0,2020-01-23 00:00:00
Paingelix,15.0,92.0,184.0,2020-01-24 00:00:00
Paingelix,11.0,92.0,173.0,2020-01-25 00:00:00
Paingelix,11.0,92.0,162.0,2020-01-26 00:00:00
Paingelix,21.0,92.0,141.0,2020-01-27 00:00:00
Paingelix,17.0,92.0,124.0,2020-01-28 00:00:00
Paingelix,17.0,92.0,107.0,2020-01-29 00:00:00
Paingelix,24.0,92.0,83.0,2020-01-30 00:00:00
Paingelix,10.0,92.0,73.0,2020-01-31 00:00:00
Paingelix,22.0,92.0,51.0,2020-02-01 00:00:00
Paingelix,12.0,92.0,39.0,2020-02-02 00:00:00
Paingelix,26.0,92.0,13.0,2020-02-03 00:00:00
Paingelix,13.0,92.0,0.0,2020-02-04 00:00:00
Paingelix,0.0,92.0,0.0,2020-02-05 00:00:00
Paingelix,24.0,92.0,119.0,2020-02-06 00:00:00
Paingelix,15.0,92.0,104.0,2020-02-07 00:00:00
Paingelix,14.0,92.0,90.0,2020-02-08 00:00:00
Paingelix,14.0,92.0,76.0,2020-02-09 00:00:00
Paingelix,18.0,92.0,58.0,2020-02-10 00:00:00
Paingelix,12.0,92.0,46.0,2020-02-11 00:00:00
Paingelix,14.0,92.0,32.0,2020-02-12 00:00:00
Paingelix,9.0,92.0,23.0,2020-02-13 00:00:00
Paingelix,17.0,92.0,6.0,2020-02-14 00:00:00
