Date,SKU,Channel,Demand,Supplier,Country,Region,Store
2021-02-02 00:00:00,Thyrocare,Online Store,431.0,Pfizer,Canada,,Store11
2021-02-02 00:00:00,Cancerend,Retail Store,837.0,Bayer,South Korea,APAC,Store11
2021-02-02 00:00:00,AntifungalY,Chain Store,80.0,Bayer,Germany,EMEA,Store05
2021-02-02 00:00:00,Osteogrow,Chain Store,355.0,Pfizer,Germany,EMEA,Store03
2021-02-02 00:00:00,Osteogrow,Online Store,214.0,Pfizer,Canada,,Store01
2021-02-02 00:00:00,Bronchosafe,Retail Store,539.0,Bayer,Canada,,Store04
2021-02-02 00:00:00,Osteofix,Retail Store,295.0,Pfizer,South Korea,APAC,Store11
2021-02-02 00:00:00,Thyrocare,Chain Store,210.0,Pfizer,Australia,APAC,Store01
2021-02-02 00:00:00,Virustop,Chain Store,296.0,Merck,Australia,APAC,Store01
2021-02-02 00:00:00,Paingelix,Online Store,271.0,Bayer,Australia,APAC,Store06
2021-02-02 00:00:00,Immunoboost,Chain Store,302.0,Pfizer,Egypt,EMEA,Store03
2021-02-02 00:00:00,Paingelix,Retail Store,227.0,Bayer,Egypt,EMEA,Store10
2021-02-02 00:00:00,Immunoboost,Online Store,379.0,Pfizer,Canada,,Store10
2021-02-02 00:00:00,Neurofix,Chain Store,210.0,Pfizer,South Korea,APAC,Store06
2021-02-02 00:00:00,Diabetrol,Retail Store,494.0,Merck,Germany,EMEA,Store11
2021-02-02 00:00:00,AntifungalY,Online Store,431.0,Bayer,Egypt,EMEA,Store03
2021-02-02 00:00:00,Osteogrow,Retail Store,290.0,Pfizer,South Korea,APAC,Store08
2021-02-02 00:00:00,Fungistop,Chain Store,80.0,Merck,South Korea,APAC,Store05
2021-02-02 00:00:00,Immunomax,Online Store,379.0,Pfizer,Germany,EMEA,Store07
2021-02-02 00:00:00,Osteofix,Online Store,218.0,Pfizer,Australia,APAC,Store11
2021-02-02 00:00:00,Immunomax,Retail Store,539.0,Pfizer,Germany,EMEA,Store08
2021-02-02 00:00:00,Diabecheck,Retail Store,494.0,Merck,Australia,APAC,Store12
2021-02-02 00:00:00,Paingelix,Chain Store,130.0,Bayer,Canada,,Store11
2021-02-02 00:00:00,Thyrocare,Retail Store,820.0,Pfizer,Egypt,EMEA,Store11
2021-02-02 00:00:00,Cancerend,Online Store,431.0,Bayer,South Korea,APAC,Store01
2021-02-02 00:00:00,Diabecheck,Online Store,395.0,Merck,Egypt,EMEA,Store11
2021-02-02 00:00:00,Dermaglow,Retail Store,269.0,Merck,Australia,APAC,Store02
2021-02-02 00:00:00,Diabecheck,Chain Store,423.0,Merck,Australia,APAC,Store12
2021-02-02 00:00:00,Hepaheal,Online Store,328.0,Pfizer,Egypt,EMEA,Store12
2021-02-02 00:00:00,Hepaheal,Chain Store,502.0,Pfizer,Germany,EMEA,Store08
2021-02-02 00:00:00,Dermaglow,Online Store,379.0,Merck,Germany,EMEA,Store02
2021-02-02 00:00:00,Immunomax,Chain Store,302.0,Pfizer,Egypt,EMEA,Store05
2021-02-02 00:00:00,Neurofix,Retail Store,837.0,Pfizer,Germany,EMEA,Store11
2021-02-02 00:00:00,Fungistop,Online Store,431.0,Merck,Egypt,EMEA,Store02
2021-02-02 00:00:00,Hepaheal,Retail Store,471.0,Pfizer,Australia,APAC,Store10
2021-02-02 00:00:00,Immunoboost,Retail Store,529.0,Pfizer,South Korea,APAC,Store11
2021-02-02 00:00:00,Diabetrol,Chain Store,423.0,Merck,Australia,APAC,Store03
2021-02-02 00:00:00,Cancerend,Chain Store,214.0,Bayer,USA,,Store05
2021-02-02 00:00:00,Diabetrol,Online Store,388.0,Merck,USA,,Store05
2021-02-02 00:00:00,Cardiox,Online Store,271.0,Bayer,South Korea,APAC,Store11
2021-02-02 00:00:00,Virustop,Retail Store,539.0,Merck,Germany,EMEA,Store12
2021-02-02 00:00:00,Dermacil,Online Store,379.0,Merck,South Korea,APAC,Store07
2021-02-02 00:00:00,Cardiox,Chain Store,133.0,Bayer,Germany,EMEA,Store01
2021-02-02 00:00:00,Virustop,Online Store,379.0,Merck,Australia,APAC,Store12
2021-02-02 00:00:00,Dermacil,Retail Store,269.0,Merck,USA,,Store06
2021-02-02 00:00:00,Bronchosafe,Online Store,386.0,Bayer,Egypt,EMEA,Store07
2021-02-02 00:00:00,Osteofix,Chain Store,363.0,Pfizer,Canada,,Store07
2021-02-02 00:00:00,Cardioplus,Retail Store,222.0,Bayer,Egypt,EMEA,Store03
2021-02-02 00:00:00,Neurofix,Online Store,423.0,Pfizer,Germany,EMEA,Store06
2021-02-02 00:00:00,AntifungalY,Retail Store,349.0,Bayer,South Korea,APAC,Store02
2021-02-02 00:00:00,Hepafix,Online Store,334.0,Merck,Canada,,Store10
2021-02-02 00:00:00,Hepafix,Chain Store,512.0,Merck,Australia,APAC,Store05
2021-02-02 00:00:00,Hepafix,Retail Store,461.0,Merck,Egypt,EMEA,Store06
2021-02-02 00:00:00,Cardioplus,Online Store,266.0,Bayer,Canada,,Store11
2021-02-02 00:00:00,Bronchosafe,Chain Store,302.0,Bayer,USA,,Store03
2021-02-02 00:00:00,Dermaglow,Chain Store,415.0,Merck,USA,,Store10
2021-02-02 00:00:00,Fungistop,Retail Store,342.0,Merck,USA,,Store03
2021-02-02 00:00:00,Cardiox,Retail Store,227.0,Bayer,USA,,Store06
2021-02-02 00:00:00,Cardioplus,Chain Store,130.0,Bayer,Germany,EMEA,Store09
2021-02-02 00:00:00,Dermacil,Chain Store,406.0,Merck,USA,,Store07
2021-02-09 00:00:00,Diabecheck,Chain Store,437.0,Merck,Germany,EMEA,Store05
2021-02-09 00:00:00,Fungistop,Retail Store,346.0,Merck,Egypt,EMEA,Store07
2021-02-09 00:00:00,Fungistop,Online Store,437.0,Merck,South Korea,APAC,Store04
2021-02-09 00:00:00,Dermacil,Retail Store,263.0,Merck,USA,,Store07
