Average Inventory (K),Revenue Made (M),Pairs,Actual Inventory vs aiPlan Recommendations,Value Add ($)
700.3387285,11.45540251,700.34 K units - $ 11.46 M,Actual Inventory,0.0
138.0438782,12.26927909,138.04 K units - $ 12.27 M,aiPlan Recommendation,813876.579999999
164.1182933,12.41734024,164.12 K units - $ 12.42 M,aiPlan Recommendation,961937.729999999
176.7611564,12.42505781,176.76 K units - $ 12.43 M,aiPlan Recommendation,969655.3
189.3416747,12.44572281,189.34 K units - $ 12.45 M,aiPlan Recommendation,990320.299999999
206.7736464,12.41515012,206.77 K units - $ 12.42 M,aiPlan Recommendation,959747.609999999
230.00816,12.57914886,230.01 K units - $ 12.58 M,aiPlan Recommendation,1123746.35
252.65897,12.62799089,252.66 K units - $ 12.63 M,aiPlan Recommendation,1172588.38
258.440479,12.59402137,258.44 K units - $ 12.59 M,aiPlan Recommendation,1138618.86
169.9618624,12.56017761,169.96 K units - $ 12.56 M,aiPlan Recommendation,1104775.1
191.1959202,12.63730583,191.2 K units - $ 12.64 M,aiPlan Recommendation,1181903.32
210.318765,12.66247895,210.32 K units - $ 12.66 M,aiPlan Recommendation,1207076.44
230.477381,12.61525529,230.48 K units - $ 12.62 M,aiPlan Recommendation,1159852.78
248.0597061,12.62985626,248.06 K units - $ 12.63 M,aiPlan Recommendation,1174453.75
262.2541133,12.64860918,262.25 K units - $ 12.65 M,aiPlan Recommendation,1193206.67
284.1340571,12.64707185,284.13 K units - $ 12.65 M,aiPlan Recommendation,1191669.34
313.729674,12.63951932,313.73 K units - $ 12.64 M,aiPlan Recommendation,1184116.81
197.886729,12.67830224,197.89 K units - $ 12.68 M,aiPlan Recommendation,1222899.73
220.4762725,12.67830224,220.48 K units - $ 12.68 M,aiPlan Recommendation,1222899.73
246.4637157,12.67830224,246.46 K units - $ 12.68 M,aiPlan Recommendation,1222899.73
263.7730979,12.67632193,263.77 K units - $ 12.68 M,aiPlan Recommendation,1220919.42
276.4924662,12.67830224,276.49 K units - $ 12.68 M,aiPlan Recommendation,1222899.73
297.6580348,12.67830224,297.66 K units - $ 12.68 M,aiPlan Recommendation,1222899.73
318.1770452,12.67830224,318.18 K units - $ 12.68 M,aiPlan Recommendation,1222899.73
352.6146084,12.67830224,352.61 K units - $ 12.68 M,aiPlan Recommendation,1222899.73
230.7113276,12.67830224,230.71 K units - $ 12.68 M,aiPlan Recommendation,1222899.73
255.8099509,12.67830224,255.81 K units - $ 12.68 M,aiPlan Recommendation,1222899.73
284.5646587,12.67830224,284.56 K units - $ 12.68 M,aiPlan Recommendation,1222899.73
299.7894746,12.67830224,299.79 K units - $ 12.68 M,aiPlan Recommendation,1222899.73
312.5872557,12.67830224,312.59 K units - $ 12.68 M,aiPlan Recommendation,1222899.73
334.4087185,12.67830224,334.41 K units - $ 12.68 M,aiPlan Recommendation,1222899.73
355.5369625,12.67830224,355.54 K units - $ 12.68 M,aiPlan Recommendation,1222899.73
386.4844179,12.67830224,386.48 K units - $ 12.68 M,aiPlan Recommendation,1222899.73
262.6704134,12.67830224,262.67 K units - $ 12.68 M,aiPlan Recommendation,1222899.73
291.6327811,12.67830224,291.63 K units - $ 12.68 M,aiPlan Recommendation,1222899.73
320.5754442,12.67830224,320.58 K units - $ 12.68 M,aiPlan Recommendation,1222899.73
337.1824871,12.67830224,337.18 K units - $ 12.68 M,aiPlan Recommendation,1222899.73
351.3570282,12.67830224,351.36 K units - $ 12.68 M,aiPlan Recommendation,1222899.73
363.2642581,12.67830224,363.26 K units - $ 12.68 M,aiPlan Recommendation,1222899.73
387.9234943,12.67830224,387.92 K units - $ 12.68 M,aiPlan Recommendation,1222899.73
412.5702483,12.67830224,412.57 K units - $ 12.68 M,aiPlan Recommendation,1222899.73
293.171434,12.67830224,293.17 K units - $ 12.68 M,aiPlan Recommendation,1222899.73
328.668399,12.67830224,328.67 K units - $ 12.68 M,aiPlan Recommendation,1222899.73
347.5057024,12.67830224,347.51 K units - $ 12.68 M,aiPlan Recommendation,1222899.73
372.5184942,12.67830224,372.52 K units - $ 12.68 M,aiPlan Recommendation,1222899.73
383.3025792,12.67830224,383.3 K units - $ 12.68 M,aiPlan Recommendation,1222899.73
399.1581541,12.67830224,399.16 K units - $ 12.68 M,aiPlan Recommendation,1222899.73
430.3362149,12.67830224,430.34 K units - $ 12.68 M,aiPlan Recommendation,1222899.73
428.7069204,12.67830224,428.71 K units - $ 12.68 M,aiPlan Recommendation,1222899.73
2.371989969,0.209789223,2.37 K units - $ 0.21 M,aiPlan Recommendation,0.0
56.62354615,11.47950544,56.62 K units - $ 11.48 M,aiPlan Recommendation,24102.9299999997
86.04396154,12.48907272,86.04 K units - $ 12.49 M,aiPlan Recommendation,1033670.21
2.371989969,0.209789223,2.37 K units - $ 0.21 M,aiPlan Recommendation,0.0
79.97131553,12.10217414,79.97 K units - $ 12.1 M,aiPlan Recommendation,646771.63
126.7131085,12.87786539,126.71 K units - $ 12.88 M,aiPlan Recommendation,1422462.88
30.6177495,6.836528809,30.62 K units - $ 6.84 M,aiPlan Recommendation,0.0
79.74194339,11.54299453,79.74 K units - $ 11.54 M,aiPlan Recommendation,87592.0199999989
110.1506525,12.28496198,110.15 K units - $ 12.28 M,aiPlan Recommendation,829559.47
31.43800176,6.870386683,31.44 K units - $ 6.87 M,aiPlan Recommendation,0.0
102.8314109,12.1217182,102.83 K units - $ 12.12 M,aiPlan Recommendation,666315.689999999
149.9474162,12.79745676,149.95 K units - $ 12.8 M,aiPlan Recommendation,1342054.25
57.36578268,8.98869161,57.37 K units - $ 8.99 M,aiPlan Recommendation,0.0
106.0972763,11.70241269,106.1 K units - $ 11.7 M,aiPlan Recommendation,247010.179999998
133.6261177,12.29762341,133.63 K units - $ 12.3 M,aiPlan Recommendation,842220.899999999
59.05541677,9.039722987,59.06 K units - $ 9.04 M,aiPlan Recommendation,0.0
126.1272026,12.06411151,126.13 K units - $ 12.06 M,aiPlan Recommendation,608708.999999999
167.9185767,12.65315662,167.92 K units - $ 12.65 M,aiPlan Recommendation,1197754.11
